NACE 4;Changement_rebasement_2022;Ponderation_2021
RF0610;non;210.31
RF0620;non;3.53
RF0811;non;179.08
RF0812;non;1243.63
RF0893;non;40.68
RF0899;non;55.86
RF1011;non;3275.69
RF1012;non;1403.67
RF1013;non;2445.15
RF1020;non;927.97
RF1031;non;122.19
RF1032;non;182.07
RF1039;non;1706.36
RF1041;non;407.28
RF1042;non;14.57
RF1051;non;5211.88
RF1052;non;207.69
RF1061;non;743.15
RF1062;non;554.48
RF1071;non;4191.72
RF1072;non;1515.73
RF1073;non;537.48
RF1081;non;660.51
RF1082;non;1356.08
RF1083;non;533.47
RF1085;non;1607.34
RF1086;non;473.35
RF1089;non;1905.85
RF1091;non;1437.54
RF1092;non;488.33
RF1101;non;1202.83
RF1102;non;1393.89
RF1105;non;511.13
RF1106;non;115.41
RF1107;non;2135
RF1200;non;251.66
RF1310;non;169.3
RF1320;non;356.17
RF1330;non;53.02
RF1391;non;46.69
RF1392;non;476.87
RF1393;non;100.54
RF1395;non;173.55
RF1396;non;393.02
RF1399;non;147.85
RF1412;oui;59.77
RF1413;oui;687.1
RF1414;oui;438.63
RF1419;oui;189.84
RF1431;oui;169.68
RF1439;oui;57.01
RF1511;non;188.05
RF1512;non;1219.33
RF1520;oui;257.61
RF1621;non;511.03
RF1623;non;835.57
RF1624;non;612.11
RF1629;non;204.16
RF1711;non;167.09
RF1712;non;1582.36
RF1721;non;1957.36
RF1722;non;609.39
RF1723;non;242.31
RF1724;non;9.54
RF1729;non;458.3
RF1812;non;2753.73
RF1813;non;680.42
RF1920;non;3038.25
RF2011;non;407.27
RF2012;oui;226.29
RF2013;non;821.45
RF2014;non;3938.12
RF2015;non;621.03
RF2016;non;2728.3
RF2017;non;307.48
RF2020;non;960.25
RF2030;non;1116.8
RF2041;non;554.7
RF2042;non;4125.97
RF2051;non;196.07
RF2052;oui;245
RF2053;non;530.26
RF2059;non;2146.53
RF2060;non;62.94
RF2110;non;1133.95
RF2120;non;10203.89
RF2211;non;1181.19
RF2219;non;2163
RF2221;non;1867.69
RF2222;non;2378.61
RF2223;non;1367.83
RF2229;oui;1797.28
RF2311;oui;174.52
RF2312;non;563.68
RF2313;non;954.58
RF2314;oui;252.22
RF2319;non;141.63
RF2320;non;138.79
RF2331;non;47.85
RF2332;non;307.01
RF2341;non;90.92
RF2342;non;33.12
RF2351;oui;634.75
RF2361;non;836.35
RF2362;oui;239.23
RF2363;non;1448.18
RF2391;non;61.95
RF2399;non;962.49
RF2410;non;2398.95
RF2420;non;747.83
RF2431;non;72.51
RF2432;non;106.42
RF2433;non;192.04
RF2434;non;110.8
RF2442;non;1058.01
RF2443;non;176.49
RF2444;non;440.37
RF2445;non;248.91
RF2451;non;559.62
RF2452;non;252.8
RF2453;non;606.08
RF2454;oui;192.68
RF2511;oui;2450.59
RF2512;oui;1424.18
RF2521;oui;282.2
RF2529;non;213.25
RF2530;non;253.73
RF2540;non;1167.05
RF2550;non;3124.41
RF2561;non;1437.8
RF2562;non;4611.75
RF2571;non;82.45
RF2572;non;432.55
RF2573;non;794.4
RF2591;non;58.96
RF2592;non;693.71
RF2593;oui;814.42
RF2594;non;488.57
RF2599;non;1335.4
RF2611;non;2007.59
RF2612;non;1235.08
RF2620;non;610.97
RF2630;oui;3061.37
RF2640;non;160.48
RF2651;non;3506.07
RF2652;non;131.91
RF2660;non;435.35
RF2670;non;721.36
RF2711;oui;1084.34
RF2712;oui;1639.69
RF2720;non;304.82
RF2731;non;163.42
RF2732;non;789.04
RF2733;non;710.8
RF2740;non;894.1
RF2751;non;592.98
RF2752;non;155.64
RF2790;oui;955.02
RF2811;non;1224.42
RF2812;oui;471.48
RF2813;non;801.5
RF2814;non;984.86
RF2815;non;730.97
RF2821;non;307.99
RF2822;non;1368.3
RF2823;non;80.31
RF2825;non;974.67
RF2829;oui;1071.74
RF2830;non;1168.35
RF2841;non;232.49
RF2891;non;47.85
RF2892;non;446.59
RF2893;oui;722.86
RF2894;non;176.61
RF2895;non;160.81
RF2896;non;167.32
RF2899;non;670.71
RF2910;non;6359.8
RF2920;non;297.33
RF2931;non;582.4
RF2932;non;5119.93
RF3011;oui;1384.71
RF3012;non;450.99
RF3020;non;1212.82
RF3030;non;14101.92
RF3091;non;105
RF3092;oui;154.25
RF3101;non;817.37
RF3102;non;308.22
RF3103;non;332.82
RF3109;non;837.9
RF3212;non;576.92
RF3230;nouvelle;
RF3250;oui;2650.23
RF3299;non;512.24
RF3311;non;2428.55
RF3312;non;5160.08
RF3313;non;2050.58
RF3314;non;1548.67
RF3315;non;1035.44
RF3316;non;3644.46
RF3320;non;6836.66
RF3511;non;16759.13
RF3512;non;1634.15
RF3513;non;6127.69
RF3514;non;5706.87
RF3522;non;730.21
RF3523;non;3864.7
RF3600;non;3800.68
RFF010;non;94643.81
RFF020;non;22836.14
