;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020
1990-01-31;1,011904;0,990459;1,003318;1,025646;6,670964;-1,240778;0,977963;0,992194;-5,414919;0,965578;-2,891073;-3,363148;0,999957;-1,001558;1,056294;-1,445346;0,960845;-1,273469;0,977917;;0,970648;-1,113707;-98,656282;0,999911;-1,636694;0,972229;-3,20858;-2,425192;-0,605873;0,274216;1,123403;1,033989;0,9813;1,001783;0,964857;-19,789747;1,000302;1,021675;0,985197;1,004115;0,97566;1,037927;1,002231;1,00283;1,008795;1,0093;0,987422;1,002087;1,000659;1,041129;0,967454;0,99278;1,006905;0,989563;-1,210128;-2,362464;0,917115;5,368052;-1,076368;0,985055;-2,405209;0,997842;1,006592;0;0,983276;1;15,416261;2,362908;9,873247;5,802529;2,468253;3,772426;-0,591029;0,147713;0,970708;0,959489;0,996537;0,984016;0,978048;0,980399;0,980645;-2,619853;0,976171;0,983377;0,988896;-1,194725;-3,060514;0,995709;-0,876704;-0,448538;-0,410235;-0,053067;-0,991627;-2,354104;-0,672013;-2,768851;-1,122683;14,290734;0,395629;0,97866;1,02874;3,946814;3,542835;-2,629865;1,012403;0,979345;0,981137;-0,176728;30,439665;3,864295;-6,978327;0,995561;-3,31544;-1,036569;0,952197;0,991768;0,976795;2,922834;1,011552;-5,188067;0,19962;0,933473;-4,547944;0,963277;0,705101;1,024939;-2,481019;1,601635;0,997608;-0,286207;0,969014;2,060296;1,006266;0,982144;1,137816;0,980326;-0,630635;1,002041;0,993647;0,995612;0,904776;0,989378;0,857308;0,962405;0,99012;0,933749;1,005096;1,026728;1,019837;1,005346;1,047873;1,024195;1,000927;0,99015;0,972924;0,986435;1,007886;0,982949;0,984187;0,998441;0,984727;0,988492;1,01726;0,985556;0,929544;1,008741;0,993115;-13,188669;0,988743;0,922785;0,98975;0,982461;0,985545;0,94676;0,996104;1,011016;-1,91871;1,004914;0,982656;0,990771;1,004377;0,99016;-4,963635;1,028132;1,013367;1,00002;-4,680028;-1,412104;-4,128041;0,976918;0,990813;-1,009577;1,068644;1,000525;0,978933;0,94095;1,005904;0,643726;0,989854;1,006985;0,995783;1,016945;1,016945;1,023401;1,023401;0,998009;0,991639;0,999491
1990-02-28;0,997863;1,007975;1,000898;0,344864;-4,981494;1,027614;0,993593;1,008498;-0,898147;0,998547;-0,07042;3,394733;1,000646;1,164053;0,941128;-0,72915;0,991594;-0,622704;0,956422;;1,00527;0,393576;0,730261;1,007494;0,509768;0,998798;-0,292237;-1,820411;0,27661;0,409412;1,008153;1,055709;0,987818;0,990391;1,062179;-3,688201;1,016668;1,020058;1,004086;0,988415;1,21614;0,974598;0,991088;0,994405;0,989491;1,003885;1,002796;0,998598;0,99489;0,999117;0,959972;1,00583;1,007689;1,010898;0,462869;-6,953231;1,111997;5,834746;0,266446;1,006931;-0,068044;1,010657;0,981861;0;0,983015;1;-2,905074;-1,542874;-2,17353;-0,112104;-0,690665;1,355293;1,316969;3,493168;1,008833;1,018787;1,002086;1,009846;0,998046;1,013413;1,017644;0,763671;1,048952;0,934959;0,89577;0,196247;1,301165;0,994143;-0,186726;-0,34161;1,280414;-2,993582;1,356329;-2,319418;-1,086044;2,086183;-1,409895;-14,784117;-0,072552;0,946498;1,023051;-4,76394;-0,873411;0,766068;0,981693;0,9846;1,007683;0,110303;-2,697268;-2,26516;6,644381;0,994185;0,564472;-0,269262;1,007733;1,003995;0,981842;-0,576086;1,001922;2,556176;-0,387458;1,155521;3,840254;0,930097;-3,94704;0,750372;-0,341351;0,945872;1,000001;-0,728736;1,026728;-4,898875;1,001211;0,919339;-2,317183;1,013415;-0,799242;1,002047;0,999017;0,999737;0,911876;1,306862;1,047966;1,175484;1,013138;1,025084;0,995314;0,993526;0,960873;0,989178;0,953851;0,985983;0,993374;1,01305;1,012832;1,161922;1,032685;0,990828;0,971817;1,003832;1,013901;0,995272;1,070584;0,994594;0,955937;1,006283;1,016435;13,984312;1,002088;1,062405;1,02587;1,014911;1,033908;0,948208;1,005251;1,012927;0,212504;1,037398;1,008621;1,009021;0,997548;1,008424;-0,749881;1,005866;1,009944;0,967826;-0,056532;-2,197154;-2,49996;1,009588;1,013671;0,574224;0,987568;1,002367;1,02319;0,955429;1,011236;1,002004;1,123307;0,929665;0,997654;0,909464;0,909464;0,813565;0,813565;0,99847;0,994542;0,992115
1990-03-31;1,024153;1,007505;1,016139;0,017562;6,647945;1,400122;0,997517;1,004502;-0,179859;1,010555;0,684569;3,010283;0,995181;1,516581;0,990852;0,572363;1,01392;0,974813;1,021998;;1,009248;-0,109542;-4,648099;0,992485;1,421662;1,01105;-1,175326;-0,08217;0,041853;1,173843;1,010972;0,956093;0,961809;1,003046;1,006592;32,713593;1,007348;1,022164;0,991699;0,964675;0,8769;0,97939;0,983061;0,978839;0,985639;0,970886;0,991141;0,990458;0,918466;1,006907;1,004575;1,000974;1,002704;1,006083;2,716496;5,370695;1,021317;0,447318;1,210264;1,012763;0,3885;1,008203;1,012753;0;1,014431;1;-1,34983;-1,222541;-14,425118;-3,131704;0,395369;22,125719;-0,628668;3,227075;1,02127;1,014485;1,019834;1,082221;1,018233;1,025551;1,022955;2,301573;0,975202;1,03663;1,084049;3,347907;1,243549;1,071999;0,715862;1,32909;-0,021956;1,288292;-1,700067;0,187755;1,204476;1,065182;0,187878;10,932021;0,896109;1,011572;1,00044;-0,224777;-1,112859;10,158595;1,026499;1,000496;0,972023;-1,136511;-3,75705;2,560282;7,808525;0,984599;2,894464;1,174734;0,985849;1,008546;1,048242;0,111005;1,0237;0,233082;1,751305;0,994033;-1,15413;1,024281;0,810469;0,783684;6,526549;-1,944016;1,008129;1,602174;1,019976;1,723411;0,998155;1,002914;2,056014;1,012695;2,356026;1,008961;1,004959;0,998703;0,94158;0,996724;0,939044;1,018075;1,015998;0,995777;0,989387;0,987126;0,968986;1,11528;0,961492;0,949258;1,001697;1,003641;1,025564;0,971403;1,016973;0,998156;1,034667;1,021419;1,003696;0,999811;0,913724;0,98699;0,965898;0,998928;0,984429;5,810699;0,976482;0,989262;1,03593;1,007305;1,033774;0,948367;1,031728;1,025613;2,460559;1,078988;0,983006;0,991287;0,965765;1,013103;5,063601;0,979429;1,007471;0,96006;1,563442;6,812043;0,646803;1,014747;1,00235;0,355926;0,828742;1,003727;1,010883;0,944879;1,004415;0,996727;0,976875;0,982682;0,991065;0,973271;0,973271;0,972858;0,972858;0,999793;1,008654;1,011656
1990-04-30;0,999;1,017926;0,972213;-2,290313;-4,338557;-1,2318;1,014914;0,980205;2,569208;1,003495;0,299852;-4,243338;1,006954;-1,749776;0,838311;0,838492;1,00788;-0,475389;1,029569;;1,007367;0,745419;0,146605;0,986277;-0,855203;1,000992;3,371736;0,991556;0,361589;0,263349;0,925534;0,949733;1,020625;0,992829;0,982143;-4,880696;0,976731;0,972247;1,001056;1,000068;1,032778;1,04101;1,021697;1,038661;1,025938;1,022947;1,018035;1,010805;1,032608;1,021256;0,934928;1,00433;0,987239;0,9748;-0,797834;-3,455892;0,974573;5,965231;-0,886185;0,9857;3,755325;0,992949;1,009369;0;1,011985;1;-16,610746;2,054588;5,823347;-1,222517;-1,34746;-5,798105;0,777667;1,262023;0,976388;0,990951;0,988278;0,987603;0,985139;0,98651;0,987983;1,635351;0,993038;1,014131;0,994228;-3,056768;-0,331645;0,971128;0,517156;1,341547;-0,350062;0,05523;2,3078;2,258736;-10,950228;-15,383277;-0,124949;-5,10806;-1,093201;0,994959;1,00038;2,791921;1,283244;1,429789;0,972628;1,01651;1,013224;0,705057;-19,546429;-4,381923;-8,923132;0,989002;-2,973934;-0,080876;0,987732;0,989128;1,020989;-1,978757;0,96113;-1,104483;-2,682759;0,994021;-3,860282;1,026121;8,115786;0,850902;1,818202;1,397636;0,998494;-0,652777;0,965635;1,110533;1,003377;0,975542;-2,062738;1,002822;-1,557581;0,970155;0,999981;1,000219;1,131356;0,93914;1,020516;0,986339;0,983276;1,02424;1,011798;0,996342;0,999098;0,972125;0,903238;0,93426;0,997976;0,994272;0,990065;0,994326;0,970718;1,011227;0,997395;1,015743;1,004356;1,023295;1,07835;1,01444;1,078038;0,989936;1,01877;0,271331;1,02416;1,0544;0,978536;1,002162;0,981891;1,048878;0,968091;0,959189;0,088253;0,986432;1,032645;1,018072;1,071188;1,353507;-1,016424;0,991486;0,981535;1,033772;-0,946518;-0,155831;1,364608;0,988584;1,009369;0,256993;1,013752;0,998705;1,011699;1,028248;1,004067;0,977645;1,006903;1,062777;1,021825;1,028325;1,028325;1,135878;1,135878;0,999577;0,996067;0,996569
1990-05-31;0,987746;0,986836;0,922078;1,620497;0,363589;1,616014;1,009038;1,018911;0,921831;1,024031;2,384082;0,230737;0,999124;0,013579;1,00806;-0,156892;1,003207;0,120556;0,997298;;1,020894;0,318257;47,369796;1,002472;4,977551;1,025478;1,690693;3,338626;0,722862;1,759966;0,95797;1,020653;0,992493;0,959493;1,059854;8,267269;0,997418;0,989548;1,040963;1,031651;1,010857;1,012848;1,007849;0,987104;0,996258;0,993755;0,996069;0,997437;1,026993;1,002303;1,102749;0,987261;0,997341;1,037639;-2,075865;6,324505;1,019421;-3,198532;1,156333;1,011709;2,903054;0,945456;1,022129;0;1,008624;1;2,035928;0,269919;3,368354;-0,59216;1,197028;-5,542413;-0,991224;-3,905765;1,016995;1,010393;0,981759;1,014918;1,02796;0,991513;0,982115;-0,52173;0,985642;0,997066;1,026119;7,926616;1,170414;1,033137;-0,629319;-1,969003;-0,51888;1,498646;-0,57947;2,352752;2,396589;-10,177231;4,175061;5,570017;2,289554;0,997455;0,986363;-1,728012;0,2861;1,12822;1,008212;1,016648;1,049992;0,218515;9,347773;2,977032;1,801692;1,039219;4,092031;-0,227118;1,016343;1,088116;0,969567;1,204123;1,038306;0,521194;6,60748;0,989687;7,281977;1,034606;1,497389;0,911941;-3,838928;-1,368305;0,988078;-0,573945;1,027935;1,140421;1,000429;1,038334;1,25909;0,970484;1,488809;1,001751;1,003629;1,011118;1,085307;1,116591;1,041421;1,039762;1,020136;1,019354;0,995979;1,010342;1,061522;1,007468;1,077541;1,115869;1,014016;1,013016;0,993369;1,058108;0,874558;1,014131;1,025434;0,991759;0,985371;0,988141;0,874048;1,001566;1,021186;0,986087;0,981003;-4,796698;1,013435;1,014763;0,9632;0,980105;0,956801;1,051864;1,000739;0,993698;0,812039;0,965223;0,991894;0,995152;1,009958;1,253738;5,39326;0,976963;0,90977;1,048978;4,810654;-0,250965;5,174087;0,993435;0,974079;0,03023;0,998043;0,99095;0,96639;1,244471;0,964984;1,002573;1,0224;1,000903;0,993501;0,990846;0,990846;0,985757;0,985757;1,001357;1,008984;1,000585
1990-06-30;0,988812;0,919655;1,010668;-0,437046;-4,187145;-5,042235;1,000411;0,99394;-6,795258;0,993123;-0,992101;-1,326955;0,974055;-7,738284;1,056434;0,912981;1,003363;0,762279;0,973726;;0,996272;-1,716914;2,658158;1,006797;-0,262361;0,99489;0,411143;-1,162333;-1,337443;-3,042833;0,968161;1,007296;1,015087;1,019104;0,953579;-45,9161;1,011343;0,973157;0,996807;1,042671;0,892391;0,998487;1,031456;1,02615;1,027081;1,006676;1,015402;1,020977;0,925389;0,946886;1,143612;1,017378;0,992002;0,974218;0,308537;2,073072;1,009809;-1,33106;-0,765882;0,993579;-1,139804;0,988761;0,946148;0;0,973111;1;3,356676;-2,064083;3,930487;1,064326;-7,761747;3,92156;-1,424645;-2,128786;1,048296;1,000172;1,000254;0,975779;0,986293;0,99701;1,011086;-3,491663;0,979853;1,002122;0,994324;-5,536519;-2,018023;0,998925;-0,255834;-2,110222;-1,286185;1,042856;-1,002425;-2,559038;-1,090942;12,303054;-1,073204;-12,178235;-5,050481;1,057349;0,956036;0,413783;-2,919415;-2,671229;1,002036;1,042302;1,000881;-0,552337;7,604069;0,500512;3,948124;0,995476;-3,057333;0,70151;1,037655;0,908925;1,12225;-1,667099;0,975517;-1,648952;-2,515289;0,989328;-5,643748;0,950914;-12,26851;0,940065;1,617583;-0,723695;0,992349;1,061049;0,996266;-1,288583;0,998653;1,058584;-0,271431;1,013251;-1,14386;1,001733;1,010813;1,005683;1,235;0,743171;1,019957;0,851718;1,075246;1,005379;0,98819;0,989673;1,0115;1,005382;0,964578;0,988285;0,993887;0,993509;0,887804;1,035137;0,926328;1,020212;0,958365;0,997802;1,003788;1,006387;0,939733;1,016278;1,070239;0,985347;1,020967;-0,736859;1,020574;0,950865;1,014806;0,980741;0,983653;1,057734;1,010097;0,951188;-2,282267;0,999879;1,00484;1,008003;0,999654;1,379648;-3,143647;1,001052;1,008668;1,00997;0,890078;-0,785869;2,63446;1,012807;0,997406;-0,52985;0,978632;0,999925;0,995457;0,991055;0,988177;1,002759;0,982473;1,015751;1,012924;1,012363;1,012363;0,995086;0,995086;1,000436;1,007842;0,993099
1990-07-31;0,848099;0,113896;0,990958;1,27694;0,286359;-1,026764;1,009016;0,995348;0,13345;0,999496;1,483822;-2,18537;1,000722;1,282306;1,248833;2,974122;1,005496;0,979396;1,034893;;1,022654;1,635336;5,386768;1,001658;-0,761848;0,99974;-0,520063;14,901347;-8,121107;-9,255179;1,051575;0,879534;1,053327;1,011168;0,939367;14,543573;1,002281;0,991388;0,986539;0,980675;1,136608;0,913973;0,955019;0,939645;0,938675;1,002449;1,001854;0,986524;1,154632;0,96504;0,95143;1,008536;1,003668;1,015739;2,358435;2,871148;0,965345;-8,276638;6,316826;1,001894;-0,575449;1,013073;1,008621;-0;1,000532;1;1,373617;0,008716;-33,617849;3,574774;-2,73147;1,782087;2,903326;-6,993373;1,016757;0,986497;1,021958;1,023092;0,987893;1,01059;0,996395;1,177941;1,118804;0,986604;0,983887;0,092822;1,034577;0,988733;-0,141542;-0,943111;1,593404;0,404359;-0,079123;-0,648461;7,444582;6,351688;15,082588;58,482431;-0,838169;1,244012;1,020914;2,239359;0,375016;0,476066;1,004165;0,964183;0,954845;1,971239;-243,605209;14,043236;39,861401;1,014796;-1,052852;-8,489202;1,036397;0,986913;0,844527;8,344414;1,009364;31,587118;38,291197;1,019188;13,24086;1,15466;11,439109;0,952061;-5,305521;2,678188;1,016108;-1,099169;1,041687;-4,891801;1,040085;1,002671;0,227707;1,007347;7,062604;1,055477;0,992523;0,992378;0,951694;1,008963;0,9867;1,008839;0,906636;0,992695;1,003553;1,00773;1,00082;1,005126;1,085316;1,040549;1,007398;0,977517;1,00962;0,949486;1,124318;0,894511;1,027652;0,884609;1,006327;1,0078;1,087549;1,020367;0,98607;1,013083;0,98821;-0,912417;0,9689;0,853451;0,978958;1,014913;1,029931;1,017366;0,989725;1,060109;6,639611;0,989276;0,997311;0,98864;0,99313;0,999724;-6,616362;1,029897;0,988222;0,969105;-1,80253;0,527336;-5,344393;1,014401;1,013529;0,577109;0,992995;1,003089;0,970115;1,025923;1,01247;1,004853;1,022764;0,998185;0,989756;1,00187;1,00187;0,991734;0,991734;1,000221;0,984415;0,99951
1990-08-31;1,001681;0,66681;1,11727;-1,55597;0,573187;2,585128;0,988814;1,020684;1,281673;0,975944;-1,160035;2,38853;1,001823;-0,154074;0,964883;-1,918243;0,988801;0,428848;0,97363;;0,990947;-13,399152;-11,651903;1,014263;1,136882;1,000284;-2,270202;-13,367392;-0,741681;0,487536;1,031501;0,974329;0,971684;1,000494;1,042121;-18,871658;0,988227;0,991236;0,973597;0,959678;0,817743;0,818336;0,862981;0,842014;0,844516;0,997482;0,978595;1,002921;1,017431;1,031874;0,95031;0,977458;0,992378;1,013029;-1,959632;-18,134759;0,925134;-6,114668;-1,587028;0,901091;-3,124485;0,990325;1,068108;0;1,020211;1;0,047007;-2,632382;6,687938;-2,996794;2,055928;-0,96021;-0,896701;3,740734;0,95829;0,950577;0,93057;0,984127;0,998679;0,969383;0,990769;-4,126525;1,089502;1,016725;1,011623;3,731092;2,758993;0,973004;-5,442177;2,515022;-0,328836;-1,544;3,320567;0,294461;-3,154444;17,113234;-12,686268;-11,694465;0,119423;0,672238;0,986238;-6,278701;-2,242934;-0,211427;0,991763;0,961403;0,964108;-2,850857;117,245329;-22,217558;-45,318602;0,996105;1,441989;0,005007;0,993173;1,003171;0,971371;-11,05649;0,959883;-28,197384;-52,609876;1,022152;0,952261;0,848298;-2,954524;0,950247;-14,892153;-2,713449;1,004084;1,562577;0,903519;3,049378;0,988479;0,996571;-10,515131;1,02643;-7,432405;0,958421;0,98012;0,968502;1,014605;0,945265;0,992703;0,968477;0,997248;1,00187;1,015761;0,978065;0,95431;0,939264;1,010553;0,99877;0,964426;1,007505;0,975202;0,881099;0,983986;0,97012;1,074645;0,909221;0,999144;0,966866;1,102151;0,97091;0,931368;1,014696;0,960692;-4,936685;0,969697;0,657049;1,000264;1,015918;0,984434;1,023047;0,992828;1,260849;-0,151312;0,764415;0,97048;0,982381;0,990189;1,05495;0,244105;0,989223;0,978658;0,990775;-2,210446;-26,292177;-3,009943;0,98067;0,963029;-1,247639;0,935404;1,010298;1,015895;1,012136;1,009894;0,994052;1,000844;1,001069;0,983156;1,00992;1,00992;1,011293;1,011293;0,998461;0,990461;1,083069
1990-09-30;1,008479;1,053121;0,94935;-0,043777;-3,18722;-33,871237;0,99428;1,003427;0,789676;0,996799;-1,015764;0,42335;1,001226;-0,013137;0,979612;-1,645118;0,973316;-1,346985;0,988455;;0,9666;-2,668759;-24,620638;1,004993;-2,71064;0,988829;7,986162;0,39454;0,919016;-1,023377;0,975013;1,012169;1,045419;0,997653;0,990967;-13,543937;1,004921;1,025942;0,98119;1,020431;0,995648;1,012816;0,98859;0,997985;1,000025;1,006397;1,026817;0,993681;1,041656;1,025412;0,8702;1,010189;0,978724;0,984721;1,596949;-5,949731;0,981457;-10,340383;-4,755637;0,994964;-2,360203;1,016855;1,011866;0;1,021587;1;0,615288;3,087098;6,545219;-1,974619;-1,0868;-4,824266;-0,084937;2,693725;1,022978;1,008694;1,024606;0,982258;0,991309;1,019372;1,037825;1,9185;0,972838;0,999919;0,992319;-1,909065;-3,396444;1,033211;1,30006;2,036015;0,859894;0,094113;-0,662245;-1,091054;1,878577;-1,017221;-8,621901;6,023736;-0,65704;1,221862;0,987313;0,369078;0,243555;-10,553714;1,003669;0,982143;1,016278;2,703312;12,012797;0,009149;-18,857331;1,019522;1,404507;-4,49401;1,004092;1,007793;0,957733;1,444878;1,003235;-1,03625;-0,388437;0,982968;-15,365234;0,986557;-0,418876;0,951925;2,989907;1,878445;0,996627;-1,570021;0,971073;-0,101108;0,995872;1,027616;1,495664;0,943036;-0,563738;1,015604;1,052713;1,06142;1,05789;1,031554;0,960132;1,027262;1,012992;0,983343;1,033928;1,0176;1,038089;1,010209;1,00344;1,0181;0,999936;1,005071;1,008511;1,007281;1,003871;0,980167;0,972553;0,866871;1,04713;1,026134;0,942186;1,022278;1,170506;1,018314;1,018383;4,970805;0,962096;0,611556;0,993864;1,016379;1,034353;1,041132;0,9949;1,041;-2,526298;0,944097;1,026724;1,013538;0,993933;1,069725;3,305016;1,000023;1,017453;0,913003;-1,918781;-5,325501;0,634313;1,010258;1,006367;0,196901;0,907295;1,004981;1,036613;0,955153;1,03386;0,991718;1,011411;1,003133;1,002525;0,984335;0,984335;1,01996;1,01996;0,999124;1,003714;1,0046
1990-10-31;1,000494;1,007236;1,001825;-0,65041;6,202101;1,951464;0,996831;0,968107;0,487254;0,995271;-0,296142;1,015639;1,001397;0,594619;0,974677;0,017155;0,995242;-0,537731;1,027944;;0,997834;2,776323;-1,363512;0,916687;0,128333;1,001761;-0,313137;-1,458708;-0,686066;-0,969098;0,917517;1,025147;0,956046;0,989895;0,996487;23,967376;0,99789;1,007829;1,027828;1,025202;1,009222;0,987328;1,072352;1,071809;1,089767;0,995941;0,975516;0,989889;0,950181;0,962341;1,048964;0,989032;1,019321;1,003751;-3,298135;27,170996;1,033702;1,192482;-0,772832;1,004677;-0,073681;0,993833;0,960967;0;0,999278;1;-4,277968;1,83949;-7,862451;2,8168;1,277417;8,092767;-1,090227;-2,113295;0,938726;1,013775;0,970842;1,025086;1,029783;1,000887;0,989557;0,338315;1,008257;0,995939;1,000132;-4,667876;-1,443624;1,078791;0,196542;-2,291797;0,034572;0,771908;-0,908687;-1,516319;1,206094;7,680736;0,979011;26,453785;1,293602;0,972357;1,007475;5,192137;2,560733;1,119131;0,98929;1,025874;0,999463;-1,278463;-16,2553;-2,78447;11,493476;0,937875;-2,776081;-0,592899;0,911927;0,992706;0,966756;0,645317;1,002166;0,434597;1,2059;0,996537;20,250492;1,009405;1,679024;1,429909;12,624839;-0,831633;0,981332;0,429117;0,990386;9,654539;1,00277;0,97534;-0,512595;0,900229;1,906997;1,011282;1,000847;0,997256;0,919142;1,010181;1,013896;0,992851;0,976673;0,996866;0,990415;1,011313;0,980345;0,988036;1,011358;0,997255;0,992257;1,002126;0,979919;0,899208;1,042775;1,009786;0,988174;1,127646;0,971798;0,988152;0,961705;0,969832;0,851868;0,991323;1,004937;12,22425;1,069249;1,270359;1,034104;0,979275;0,969726;0,899583;1,005011;0,995362;1,198764;1,040448;0,991643;1,003797;0,999982;1,016709;3,117842;0,994945;1,006098;1,078601;1,955488;7,839434;14,709448;0,983203;1,006163;0,780971;1,110718;0,990217;0,990377;0,928553;0,973919;0,993893;0,999034;0,982537;0,99882;0,944282;0,944282;0,786579;0,786579;1,000244;1,003937;0,983035
