;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020
1990-01-31;1,012789;1,084361;1,076926;-16,112247;11,933165;4,620841;1,077885;1,039833;-1,202522;0,898914;1,045561;2,097147;0,481965;4,27916;1,126353;4,317378;0,736054;5,314513;1,015811;;0,839431;12,994281;47,201943;0,812242;1,436297;1,025697;-1,061606;0,142852;8,011024;25,29544;1,119956;0,562674;0,798457;1,02835;0,995347;105,45076;1,02181;1,123825;1,054011;1,549801;1,071958;0,955964;0,869052;0,993126;1,09931;0,98509;1,152489;0,940774;1,26044;1,076648;1,250324;1,032208;1,022667;1,154035;11,964017;9,186724;1,033796;1,788822;6,340417;1,070641;13,449374;1,125991;1,046857;-0;0,969959;1;11,896848;-4,303198;9,964366;-24,128616;3,048504;25,103603;5,48998;5,957031;1,559834;0,944208;0,91693;1,086331;0,657791;1,014409;1,123398;4,990328;1,107976;1,203021;1,052249;13,725683;7,074755;1,075499;3,708783;8,460641;2,786637;-0,338133;3,585213;3,59073;1,375055;8,665021;12,875044;29,716412;-1,457431;1,066254;1,140983;-31,686549;-9,126689;8,11169;0,896492;1,000478;0,278178;4,384069;18,337136;32,783345;58,708548;1,021462;15,737403;9,034134;1,089999;1,083741;0,951182;14,89603;1,029605;11,508429;16,970501;0,962565;1,101634;0,976261;-11,178848;0,90983;-6,549844;7,749649;0,894952;0,100386;0,940974;3,436476;1,063855;0,975487;-9,257723;1,011271;9,861818;1,052916;0,978727;1,018215;0,877295;0,505851;1,05758;0,519491;0,892917;0,349254;0,877198;0,852229;1,356558;1,235794;0,347234;0,732843;1,006828;0,772463;0,969018;1,026999;0,83849;0,675766;1,067469;1,038562;0,722479;1,020916;0,779431;0,972054;0,856645;0,73725;0,829369;14,095907;0,773952;0,846766;0,974636;0,724571;1,096271;0,705191;1,019772;0,907159;8,220828;0,984615;0,96689;1,019647;1,206107;1,247143;30,129935;1,244715;0,606824;0,642223;-1,574028;-16,236651;-1,013226;0,973453;1,14509;-0,760653;0,896519;0,844716;0,772185;0,713195;0,836703;1,002555;0,897681;1,228818;0,920987;1,365767;1,365767;1,643336;1,643336;0,988548;1,025743;0,944866
1990-02-28;0,90403;0,998147;1,00929;-13,793097;-1,672778;-3,168157;0,896636;0,895177;-1,783553;0,896062;2,446146;-4,446459;0,414274;2,037131;0,955109;-4,024592;0,774952;-2,47567;0,914101;;1,049221;9,741988;42,024981;1,065148;-8,256609;0,95387;-7,03766;-0,977167;-3,128145;5,038532;0,953143;0,491019;0,770186;0,922624;0,785879;43,854136;0,944451;1,066557;0,969033;0,786318;1,146435;1,040977;0,857808;0,982554;0,972719;0,959124;1,084866;1,655;1,488365;1,001526;1,096795;0,945199;1,090442;1,110197;0,983613;-6,569996;0,908357;-5,381831;-3,596068;0,982033;0,189029;1,046996;1,069564;-0;0,892795;1;-5,171125;-4,436588;-2,654876;-27,129377;-0,2256;22,843669;-1,139086;1,424522;1,322924;1,032184;0,926184;0,955121;0,644545;0,975324;0,979889;-3,196133;1,061344;0,96221;0,978906;8,472863;3,936838;0,986171;2,521152;0,740308;0,864419;-5,946327;2,101248;-0,036318;-2,116286;10,57679;9,506706;10,759059;-3,024012;0,979103;1,067078;-16,175685;-7,372962;2,941569;0,915214;1,086237;0,5101;-0,746383;20,405201;7,372844;16,681321;0,962162;7,068058;1,364053;0,976795;1,067545;1,301275;6,306324;0,979623;1,719476;7,025222;0,935582;-13,942733;0,898465;8,430732;1,066916;-2,135178;-0,440927;0,813252;-4,345315;0,927737;5,607363;1,044982;1,008732;-8,6484;1,046893;3,646939;0,961488;0,996244;0,903947;0,689893;0,710792;0,849857;0,651569;0,947699;0,550577;0,803257;0,70553;1,3485;0,786819;0,723496;1,028346;0,940447;0,729558;0,863177;0,951029;0,977946;1,031017;1,010202;0,970085;0,965098;0,999894;0,933498;0,80506;0,531561;0,867725;0,911416;2,621063;0,906915;0,506553;1,00954;0,882451;1,020441;0,841638;1,141777;0,964312;-4,494631;1,025207;0,893748;1,033767;1,166405;0,773606;0,911002;1,140503;1,29988;1,055721;2,086481;-13,467568;-7,954089;1,002264;0,980516;9,079104;0,879049;0,88286;0,869194;0,834721;0,805376;1,595959;0,8386;1,094207;0,841472;1,186761;1,186761;1,508605;1,508605;0,898999;1,061231;0,956413
1990-03-31;1,028826;1,103399;1,124757;8,377636;-3,298319;10,163211;1,015705;1,035573;1,213989;1,090622;12,722497;4,41566;0,4089;5,115258;0,988476;6,197265;1,150975;5,160984;1,005207;;1,05692;13,907162;54,489373;1,066664;-5,740105;1,049754;2,111541;13,440325;4,604757;13,66983;0,773996;0,706634;1,013334;1,006796;1,010926;97,416748;1,084441;1,17121;1,147199;1,024727;0,958329;0,903099;1,044775;1,128593;1,027244;0,976732;1,039543;1,486534;1,325463;1,136073;0,850828;1,187064;1,1042;1,238375;2,938173;17,544084;1,026388;2,455401;10,375789;1,074428;6,537015;1,0677;1,15675;-0;1,004483;1;-5,741797;-1,334223;44,318555;-5,798193;0,214115;44,288027;4,706347;7,365947;1,333165;1,130461;1,08438;1,034189;0,998313;1,099672;1,120197;1,541465;1,122372;1,230306;0,992331;28,055474;15,474137;1,096571;8,953194;7,864988;7,393846;-1,126964;6,582179;9,6408;3,866605;22,693382;22,434001;43,744693;12,424143;1,036787;1,159809;21,498444;23,419906;10,211757;1,123893;1,081525;1,207414;13,701905;53,679199;24,630592;36,809319;1,105716;13,363819;9,105185;1,07773;1,140072;1,153783;20,281905;1,077754;12,09481;20,145084;1,058573;3,069266;0,891866;0,441657;1,038234;22,319848;10,581863;1,088704;12,615096;1,079496;27,311359;1,100531;1,088261;-2,10854;1,140354;2,969075;1,108959;0,991079;1,016644;1,233933;0,975223;1,09708;0,788982;1,186731;1,271425;1,091293;0,923939;1,41103;1,214797;0,615936;0,95913;1,010027;0,95161;0,815917;1,125228;1,060863;1,568837;1,132743;1,082963;1,057166;1,128633;0,909219;1,044003;1,140282;1,081886;1,08062;31,45435;0,989243;0,967816;1,03565;1,023698;1,20884;0,898809;1,163284;1,386952;14,788865;1,080444;1,067369;1,147788;1,324785;1,116523;-0,453382;1,244132;0,82603;1,408965;18,670175;6,075031;3,551667;1,089727;1,113838;-0,00229;1,176797;1,041751;0,972355;1,100495;0,902124;1,289913;1,007106;1,072879;0,95327;1,119261;1,119261;1,256522;1,256522;0,977786;0,965194;1,095621
1990-04-30;0,992121;1,047279;0,991868;4,761816;1,683117;-3,041173;0,989511;0,993982;3,725972;0,975712;11,501042;6,949861;0,335608;1,240778;1,009015;4,762547;1,477856;-4,352466;0,901947;;1,029336;-5,051786;17,624275;0,94322;9,496079;1,180983;3,915917;7,712348;-1,404929;0,283659;0,987153;0,701634;1,121001;0,991402;1,103318;31,601852;0,992725;1,180419;1,084197;1,176882;0,847074;1,123212;1,066825;0,959063;1,025302;0,896357;0,827677;0,893861;0,931168;0,874798;1,39766;1,032981;1,14372;1,043232;1,097554;11,305753;0,911746;-4,347481;2,169397;0,99148;0,271274;1,037005;1,12957;-0;0,897059;1;-12,413714;-1,009162;5,203001;11,251055;2,152392;-1,433207;0,518791;4,627561;0,784842;1,101193;1,008938;0,976163;0,712794;1,099344;1,017439;-2,478342;1,075646;1,129564;1,028522;0,521822;4,852212;1,0748;2,313612;6,233763;2,252741;-4,437157;4,681237;3,113859;1,232506;13,17845;5,900381;45,939761;7,784625;0,980511;1,019918;10,414979;14,92928;6,670011;1,025867;1,036193;1,189047;6,128892;23,995606;5,321461;17,885197;1,006247;7,449245;4,951714;1,014504;0,988458;1,068202;7,984391;1,084819;7,216823;7,201439;1,03995;1,758482;0,885062;-5,129309;0,93993;-3,777191;6,878989;0,88212;1,280711;1,062716;13,980291;0,991606;0,928855;-9,348259;1,130784;4,323039;1,027954;0,953769;0,841859;0,522714;0,924685;0,989563;0,826162;1,091221;0,62756;1,33313;0,898588;0,97623;0,728187;0,450377;0,698837;1,023739;0,831109;1,078096;1,055613;0,820756;1,105155;1,070338;1,042622;0,969451;1,012683;0,661717;0,969282;0,808102;1,108578;0,90771;21,424846;0,837725;1,284315;1,012255;0,8992;0,808867;0,910103;1,074203;0,876396;2,301908;1,16281;1,028668;1,073714;0,728491;1,124579;-6,392376;0,938408;1,196849;1,476693;-10,835192;6,005877;-4,627495;1,009195;1,001249;0,520253;1,01713;0,974789;1,105655;0,671296;1,585646;1,054651;0,88186;0,985645;1,023722;0,992401;0,992401;0,985514;0,985514;0,971552;1,082432;1,026138
1990-05-31;1,026288;1,056113;1,013854;8,657238;-17,31913;1,937018;1,00942;1,042846;17,318727;0,950116;7,933398;13,89794;0,424013;-0,504815;0,839492;9,551753;1,577627;-4,165973;0,942459;;1,020072;-7,33433;-40,840885;0,838807;13,077222;0,988177;7,218329;7,010834;0,135664;-3,368391;0,922508;0,846755;1,308839;1,024963;1,355016;-34,977341;1,078383;1,0617;1,07219;1,140524;0,978995;1,126929;0,93019;1,034825;1,049589;0,779857;0,820002;0,524016;1,109459;0,823686;1,007849;1,009025;0,920814;0,929218;5,009523;-1,869646;0,941061;6,040418;4,51792;1,012039;1,056465;1,039663;0,954254;-0;0,979939;1;4,037715;1,598656;-4,672121;12,092275;-4,521338;-40,981254;2,258073;3,474692;0,69426;1,166136;1,0132;0,981158;0,796219;1,071704;1,058984;4,533683;1,111108;0,936552;0,948196;-6,589058;1,890765;1,040054;1,449559;4,240475;3,772534;0,60285;5,903415;6,961741;3,648242;9,127214;1,194899;22,018038;5,44064;1,036541;1,027116;10,393513;13,348756;1,378678;1,04642;0,984075;1,315723;7,671226;2,989041;1,793341;10,828586;1,026344;1,59546;3,135054;1,032257;0,95404;1,053658;2,81081;0,999593;6,869985;9,142947;0,999171;7,043448;0,788913;15,463367;0,908442;-22,546415;0,980993;0,945681;-0,068101;1,061723;8,203758;0,99073;1,023283;-1,671263;1,046652;2,91178;0,954479;1,040044;0,973178;0,883139;0,844532;1,036656;0,805815;1,115231;0,788707;1,498929;0,961244;0,8673;0,717817;0,581532;0,831773;1,081074;0,933489;0,868387;1,003571;0,935787;1,0381;0,989878;0,948996;1,026523;1,05225;0,793861;0,946334;1,107931;1,03205;0,92037;-6,130594;0,872217;1,893848;1,055057;1,00117;0,871074;0,878326;1,28591;0,860605;6,840243;1,035074;1,15012;1,017174;0,900022;0,97944;12,565678;0,86803;1,160995;1,286846;-18,568605;5,839476;-10,981593;0,951662;1,053352;1,845723;1,00275;0,997588;1,138178;0,763831;1,001956;0,739235;0,919383;0,897407;1,080334;0,803668;0,803668;0,607657;0,607657;1,011106;0,998744;1,044423
1990-06-30;0,982158;0,698239;1,016265;15,91634;2,30256;10,266917;0,964632;1,018747;11,878613;1,156547;13,070996;6,921016;1,220598;-3,447031;0,969649;1,093576;1,674779;-1,514888;0,947222;;1,076294;6,938028;19,705813;0,876748;-10,822337;1,107987;8,842329;8,514946;-5,554813;0,135633;0,917213;0,804003;1,583272;1,006582;1,279331;51,221135;1,001286;1,144611;1,084837;0,982445;0,947089;1,212574;1,185711;1,166766;1,001275;1,314392;1,008682;0,769211;1,225404;1,164752;0,761664;1,163057;0,975211;1,119996;5,009287;42,857625;1,060743;6,939586;5,955874;1,100908;3,338476;1,028439;1,034792;-0;1,001418;1;-1,941316;0,541145;14,779389;8,160217;8,262093;9,769962;0,531143;-2,323168;0,680412;1,184787;1,264859;1,068892;1,108868;1,164215;1,146141;16,76965;1,046542;1,000626;1,018299;15,318695;12,235078;1,055909;4,281694;4,941438;6,893263;-3,971551;0,896032;3,769301;2,392198;28,803694;7,101512;38,259772;10,518259;1,010178;1,061629;21,365447;24,71826;9,100641;1,113455;1,1795;1,348283;11,37782;25,557912;20,804683;51,12361;1,142739;12,049214;7,711846;1,034354;1,183891;1,025776;17,795752;1,118631;15,690551;20,79156;1,105927;29,09237;1,042326;53,779134;0,958957;10,223947;11,269807;1,637298;9,883697;1,044901;30,395304;1,102546;1,197402;14,835067;1,149412;10,369666;1,010173;0,977532;1,094929;1,242798;1,28264;0,444197;1,091333;0,908833;2,292753;1,359934;1,385126;0,937389;0,845655;1,153429;0,769944;1,193412;1,220217;1,027166;1,063452;0,933006;1,232881;1,104259;1,229087;1,13318;1,086904;1,209365;1,101446;1,278315;1,275237;1,041007;0,378148;1,231908;3,081047;1,078774;1,19605;1,05807;1,00517;0,95557;0,994506;18,169247;1,160093;1,18194;1,138112;0,965747;1,011918;-9,127973;0,953387;1,197996;1,121157;-2,050809;24,137436;-4,265825;0,999267;1,127456;6,451702;1,03732;1,158075;1,14922;1,546173;1,098728;0,956232;1,317332;0,864836;1,074424;0,786024;0,786024;0,542342;0,542342;1,056668;1,061284;1,059966
1990-07-31;1,008346;0,984582;1,025396;14,865888;-1,08858;31,063839;0,999033;0,950786;7,825237;1,035667;-33,882595;6,346513;1,612959;-18,462985;0,836753;-3,075543;1,407273;-7,041112;0,970784;;0,895178;-34,99498;-51,202702;0,786035;-3,858941;0,874251;3,132431;-9,479733;-5,95157;-19,547746;0,709658;0,730443;1,150156;1,011858;1,269882;-69,851566;0,910996;0,856856;0,809784;0,781444;0,729978;1,604968;0,944695;1,120812;1,06329;1,329975;1,244248;1,133406;1,301704;0,96959;1,152331;0,884282;0,887754;0,886938;12,757199;70,274929;1,131598;7,318351;12,918468;1,061926;17,997809;1,107475;1,117305;-0;0,866768;1;5,945895;-0,873285;37,653997;13,057034;3,999178;-36,483662;1,603779;-13,114106;0,783777;1,150088;0,931336;1,118779;0,649939;1,201282;1,0653;-1,264724;0,749365;0,994912;0,970398;-17,833116;13,510895;1,04011;3,753479;7,342763;4,843152;2,166931;-9,153741;-12,649191;-4,139403;11,169946;9,558379;34,549274;1,906132;1,007539;0,732063;21,839881;21,738964;1,729322;1,124367;1,245811;1,703283;3,521861;1,942379;30,517622;86,566873;1,201913;12,697663;9,205019;1,058758;1,040388;0,936565;-19,726015;0,937701;-11,227261;-9,631337;0,945076;43,34782;0,944921;-2,863776;1,079041;-26,806578;1,015465;0,662706;2,707793;0,969615;9,648263;0,91665;0,971715;16,508304;1,043156;15,524579;1,05388;0,970548;0,92509;0,61262;0,810275;1,139927;0,68053;0,547466;0,645975;0,946908;1,032941;0,938498;0,83613;1,321842;1,181441;1,046661;1,200922;0,779496;0,805009;1,059066;0,44694;1,097079;0,909314;1,035217;0,992155;0,725672;0,961664;1,20456;0,979219;1,041361;-17,192091;1,134159;0,343235;1,056377;1,05215;1,102358;0,973421;1,238432;0,95534;8,310442;1,022403;0,913555;0,960577;0,672268;0,834579;-15,258168;0,960997;1,505151;0,978379;-5,351126;33,489272;4,773771;0,962564;0,922613;4,951014;0,916422;0,974938;1,182073;0,803814;1,118135;0,882268;1,023817;0,886396;1,115988;0,805239;0,805239;0,4836;0,4836;1,127823;1,077093;1,042458
1990-08-31;1,003825;0,977388;0,798149;-16,55395;-36,454964;-63,492535;1,052168;0,959318;9,960652;0,869584;3,778286;1,941231;2,118233;-1,271072;0,93983;-5,80252;0,811382;-4,401826;0,980234;;0,830499;-11,77767;-154,250683;0,886301;-8,933892;0,747031;-6,709507;-17,85214;-1,064555;-11,757096;0,976752;0,609206;1,108188;1,012972;1,237276;-400,260156;0,500467;0,554064;0,347583;0,233049;0,63654;0,233303;0,734885;0,531053;0,408089;0,639346;0,705021;0,602379;0,513453;0,455081;0,575202;0,465617;0,576995;0,595742;-41,40842;-131,137933;0,835267;-2,399005;-39,272421;0,689483;-28,292343;0,703977;0,596121;-0;0,877046;1;5,028065;-4,200351;-107,870431;-4,7418;-4,281099;-16,064302;-12,72914;-9,900366;0,388682;0,726456;0,88468;0,864709;1,696617;0,686728;0,858173;-1,751438;0,547603;0,620391;0,83628;-62,779957;-67,693823;0,778254;-15,699577;-33,680041;-31,689459;-4,447801;-15,69264;-25,33698;-11,20824;-92,840984;-60,8085;-330,310463;-62,076831;0,511329;0,945968;-23,127183;-55,227809;-34,156513;0,819745;0,359928;0,55174;-36,266147;-138,286811;-136,452003;-313,5648;0,720483;-68,598936;-40,32039;0,667462;0,523369;0,252816;-79,974692;0,423816;-58,823924;-86,432611;0,863987;-85,457629;0,633517;-47,392623;0,803819;-17,538545;-49,070118;0,961045;-39,400027;0,608091;-116,503436;0,633074;0,904296;17,237422;0,703083;-48,626782;0,543629;0,816394;0,730681;0,513869;0,911267;0,594361;0,592751;0,755771;0,530968;0,548517;0,54154;0,765226;0,824305;0,815854;0,937234;0,826931;1,037477;0,65178;0,499542;0,987643;1,098213;0,571967;0,772571;0,838188;0,752139;0,898404;0,709406;0,298409;0,720605;0,671187;-48,719729;0,731;0,185635;0,644477;0,893019;0,543172;0,964596;0,754586;0,781974;-78,438327;0,346946;0,783791;0,554758;0,502366;0,193067;-14,129386;1,020403;0,556383;0,640368;-62,540717;-76,386979;6,285458;0,577408;0,704424;-48,261367;0,827144;0,713538;0,760749;1,050692;0,950459;0,722418;0,862421;0,823652;1,019066;0,732692;0,732692;0,376864;0,376864;1,066014;0,606843;0,736014
1990-09-30;0,986173;0,964299;1,063036;3,487032;16,620414;2,668464;0,954414;0,960534;-11,464113;1,073618;6,890065;-12,744841;2,279497;2,440223;0,991627;-10,557503;0,729273;-3,017931;1,082002;;1,236183;11,099497;3,806695;1,198974;3,158612;0,917347;-3,887051;5,796015;-7,010755;1,6958;0,987851;1,069946;0,821803;0,986882;0,753736;68,655486;1,072696;0,937383;1,086964;1,240103;1,024935;0,857668;1,119031;1,018458;1,05389;0,817111;1,341697;1,010725;0,671461;1,116997;0,979679;1,07174;1,101766;1,044524;9,812415;0,366848;1,094683;-1,73322;3,888057;1,070317;-3,092476;0,954832;1,002313;0;1,042117;1;-8,132957;3,032005;-2,825624;12,047286;-5,076364;19,063925;1,500348;4,257651;0,68179;1,009743;1,080542;1,008313;0,939454;1,059591;0,960555;-3,808931;1,025386;0,789993;1,001353;11,174054;8,566069;1,045368;-0,608194;-0,808851;4,074103;3,740911;-8,816493;-1,578456;1,145147;-3,674948;-3,593494;29,210561;2,928535;1,071575;1,022917;5,160257;4,270022;9,295479;0,990808;1,01734;1,500228;4,269614;-3,540343;18,993944;23,876688;1,023893;4,497153;3,386867;1,018545;1,047835;1,106035;8,109503;1,136555;9,848857;14,3179;1,041531;10,404668;1,163953;-10,519819;1,004072;-5,061817;6,546226;0,857028;6,826577;1,126632;9,955422;0,999847;1,014396;17,668397;0,894883;-2,91484;1,051165;1,09494;1,193422;1,13137;0,832958;1,218683;1,142671;0,735224;1,624822;0,515362;1,248477;0,928303;1,063678;0,662677;0,824142;0,893256;0,997359;1,010018;1,096577;1,240315;1,521072;0,991869;1,069276;1,037688;0,962007;1,313246;1,094903;1,172993;1,047112;1,035896;-5,869701;1,137335;0,314301;0,883952;0,879991;1,080475;0,914922;0,603515;0,956114;8,586608;1,112321;1,071019;1,055156;1,048128;0,976656;-2,317528;0,951821;1,002595;0,961825;11,130543;13,500028;36,191297;1,103757;0,957202;4,070046;0,910697;1,059997;1,040712;1,461441;0,918898;0,85832;0,966211;0,886845;1,051446;0,797605;0,797605;0,581364;0,581364;1,013692;1,017749;1,055686
1990-10-31;1,043649;1,003589;1,099615;19,815437;6,103293;14,550598;1,098751;1,098678;-3,537625;1,008425;1,780026;-6,170368;1,320073;5,755097;1,26889;1,069506;0,599479;8,771344;1,154756;;1,10629;14,498213;59,792922;1,377384;15,416377;1,152395;3,404031;5,601955;6,647627;9,817675;1,174905;1,403482;0,931822;1,019594;0,755513;154,568342;1,273077;1,182751;1,272677;1,295156;1,396601;1,115117;1,06456;1,123768;1,360128;1,102908;1,106864;1,321738;0,831567;1,201195;1,260068;1,183432;1,183156;1,07203;19,533882;40,816636;1,136184;-6,077082;8,363992;1,146176;11,567541;1,086771;1,056305;0;1,185996;1;1,54878;6,557331;35,38807;11,981898;8,647934;12,156004;3,663195;0,948591;1,126549;1,068081;1,165778;1,148412;1,265573;1,059755;1,048959;3,894224;1,07473;1,284102;1,15273;27,351649;17,664676;1,121515;4,577955;11,245344;9,207293;7,916033;0,283073;6,948132;2,956831;12,690088;13,346216;67,447436;20,128877;1,144039;1,159937;14,694305;24,106412;8,41562;1,160413;1,091192;1,055705;9,715066;30,477543;35,129814;72,032485;1,113405;20,85792;9,534726;1,136523;1,159658;1,407977;29,827341;1,207498;18,187733;27,745435;1,121687;32,525221;1,517234;-18,187545;1,067944;31,129055;14,675686;1,003398;14,062673;1,183857;42,162259;1,141579;1,179736;11,073615;1,124466;16,290666;1,171564;1,04284;1,018509;0,762758;1,186386;1,732104;1,294269;1,217527;0,563615;1,147828;1,247437;0,798009;1,416761;0,756548;1,057718;1,082936;1,119804;1,504726;1,430174;0,957666;0,825318;1,153497;1,001015;1,157785;1,095901;2,160075;1,099683;1,820227;1,008538;1,079246;8,479033;1,102613;0,770124;1,191722;1,051363;1,117936;1,180267;0,72341;1,052896;18,353893;1,152093;1,129099;1,16249;1,298661;1,055294;-5,51506;0,972708;1,015206;1,012081;34,646572;30,056163;12,433495;1,235617;1,047971;34,598033;1,092978;1,092478;1,073054;0,846698;1,042205;1,144877;1,003871;0,991186;1,077092;0,986813;0,986813;1,079045;1,079045;0,993561;1,176052;1,186165
