;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020
1990-01-31;390,893306;2782,776158;230,40931;111,684626;96,702306;113,28219;103,171245;79,567879;70,824979;79,154076;86,579332;35,35591;99,915883;33,445447;438,312894;80,130061;81,797082;79,453138;35,875523;;107,589158;93,258573;137,465671;100,629667;92,388347;80,474155;47,487486;73,10013;92,238046;106,485313;117,72871;92,424182;107,065727;88,32788;75,634621;731,993354;1227,808308;261,30546;571,913745;548,731624;206,022545;365,848548;122,527849;171,257863;290,914146;2394,243359;3399,903955;4701,248022;5236,110555;550,949784;973,828789;496,559216;243,261971;1150,875564;91,740177;226,612688;97,54603;112,536972;114,662838;112,832615;90,719863;432,832216;294,975896;125,549306;143,525685;92,005374;136,299555;73,436502;341,971429;135,284957;87,464212;244,238213;62,815371;80,293216;88,406364;109,730454;117,545508;36,172211;66,152644;74,061728;109,508175;33,654775;184,582686;47,797659;32,259886;207,741078;96,022403;73,521981;61,506231;59,1827;64,18831;78,836147;81,107937;118,608962;55,384932;177,46343;168,61548;490,252569;115,949502;327,48463;454,133068;163,912925;166,977721;61,170855;107,075962;140,024789;164,286741;107,450511;290,681863;208,893867;405,870632;222,753115;96,183992;89,188204;186,112585;423,137614;81,287317;148,326974;236,942715;107,045131;178,092253;155,301886;219,486364;128,932292;99,098379;117,353805;175,922121;104,498792;92,778123;92,842665;153,465007;276,693801;192,171863;157,57101;81,87915;179,198427;71,673352;110,537733;39,715797;25,737208;112,703639;262,997331;48,739045;94,761685;3622,727419;34,487378;20,929388;118,658209;129,510048;140,694582;43,239334;91,086561;129,467274;128,830254;107,556464;145,047009;97,70582;87,019016;80,432571;104,266652;102,749118;117,421604;205,930423;96,225805;60,796072;73,742793;63,603204;138,438552;151,152717;130,951322;481,717579;113,02692;118,096946;156,316384;60,314804;188,920121;121,716399;90,880501;27,911354;66,556665;86,564671;15,670999;29,346745;60,199177;390,798755;351,164538;227,16208;168,282824;142,373784;255,974946;51,612564;101,933003;60,244536;91,552086;38,168336;71,36042;115,359776;44,606432;70,933741;68,946447;106,626411;63,027685;63,027685;71,004327;71,004327;77,385475;102,122929;144,622758
1990-02-28;380,28905;2833,821759;230,475631;110,791152;84,488981;115,203471;105,491749;80,944279;75,579417;81,921068;89,408898;41,639232;100,069018;35,553543;388,359731;81,554509;84,377188;81,322287;35,974372;;110,906004;95,512653;235,835474;100,909092;94,871784;82,757454;50,223422;76,175094;93,115587;106,67073;104,643524;93,820131;108,129698;88,353355;82,244306;742,346223;1234,162776;259,132164;582,111143;550,024556;259,228249;344,81101;120,898588;169,062072;283,723499;2372,439844;3461,918618;4661,292932;5326,299496;523,245961;964,296982;502,360131;243,904157;1178,46125;93,055176;221,801137;115,979368;112,740597;116,087927;115,662975;92,759087;436,544245;283,374821;125,549306;143,495624;92,005374;120,414203;68,831573;327,701733;128,666503;82,705032;241,539004;64,951102;82,170865;90,039588;116,193843;118,347521;37,142605;67,743511;76,56365;112,881484;37,73312;201,098483;45,75098;29,464891;208,072802;100,760217;74,014622;62,648658;59,333091;65,786573;76,741421;83,209238;119,976453;55,158027;183,647484;168,996989;460,746737;114,507399;317,297552;451,508347;155,257195;162,693339;65,065971;103,660508;141,758224;169,393277;108,544528;257,223853;199,709908;416,26412;225,45297;100,95372;90,201538;197,475658;428,351032;81,177235;143,6047;229,930301;114,011709;176,499514;191,291097;230,218442;128,134333;96,563133;83,7202;176,523256;102,773939;93,445377;92,318494;161,954018;269,617732;190,772937;147,051646;78,966381;185,519475;71,452485;111,182307;39,8266;25,781379;114,059582;343,119837;60,256894;115,886334;3623,04241;38,228901;20,816704;114,050653;125,572503;140,223306;39,751087;88,517241;128,451661;130,504548;112,765333;173,411037;98,126341;88,235416;79,994573;104,741251;105,802422;118,636497;216,206592;97,179705;66,354274;73,492981;64,821671;161,70161;152,810883;152,356893;487,149033;116,690392;121,64377;154,609437;60,153479;188,093686;122,819087;90,875247;28,750781;67,382187;86,031481;15,817161;34,423097;58,985916;381,143638;347,228191;233,117901;166,7294;144,409961;267,020685;52,840348;103,525104;55,163169;91,491738;39,75954;73,332989;115,961907;69,433554;80,487688;64,415802;107,089893;56,738095;56,738095;56,584402;56,584403;77,811602;102,761969;143,653643
1990-03-31;384,382771;2837,263747;235,381047;110,199163;95,473175;115,441322;106,659022;80,794325;76,426562;83,011715;90,228272;40,871941;99,650166;35,796952;405,726215;83,506433;86,287739;84,258543;39,383693;;111,17368;95,846829;230,698015;99,035269;96,200934;83,944229;49,153193;80,545648;92,781864;107,493513;103,408759;84,479217;105,614931;90,73269;77,139739;774,497743;1205,63687;257,736586;572,015157;546,14979;188,460926;346,556379;119,586862;165,542257;280,734041;2282,926749;3417,950392;4592,877749;5050,591778;521,633145;1015,904911;497,482453;243,926539;1176,424462;94,534051;234,065922;103,960677;107,209677;116,946278;116,596904;93,039565;433,037418;287,358258;125,549306;147,86512;92,005374;124,831162;68,270565;313,501668;124,968906;82,364865;262,667075;63,209876;80,698607;89,801981;114,946538;120,42257;39,739963;69,377086;77,538149;112,343827;39,86303;190,852078;51,037085;36,023353;210,179828;101,097098;80,426136;64,002446;61,322189;64,339704;81,681147;79,913157;123,842103;57,318208;184,214674;171,190911;485,650554;114,420429;339,259444;441,511457;159,636837;162,278355;75,021528;108,190215;144,45303;163,47692;107,986858;256,676647;200,853274;413,147797;226,181619;104,249012;91,854428;193,787985;430,361982;86,312051;142,965755;228,653037;110,72006;177,368997;164,025871;227,779673;145,104418;103,456884;84,74373;181,406835;98,426572;94,784315;94,654965;160,633015;276,512404;189,51755;159,91393;83,952132;185,894062;74,462592;112,659491;39,830631;25,627439;117,838869;260,366694;54,60469;100,74092;3519,796912;37,294297;20,816588;112,444071;130,370787;159,824491;40,613916;86,340219;129,270764;127,770188;114,849602;147,298283;94,564646;88,93874;85,627455;106,584805;104,612856;119,118743;183,904785;96,681436;70,639526;72,845267;62,345797;148,447104;147,780646;144,749665;477,598314;115,447678;118,728855;153,131382;60,83948;189,148346;123,516704;91,119446;28,022046;65,565835;83,483761;15,661657;40,993954;57,551798;370,149759;352,83799;235,672669;174,95181;147,572082;270,393323;52,261885;103,138796;45,940852;91,394328;39,207722;73,78108;115,236991;69,083059;70,012713;69,114053;106,527583;61,28394;61,28394;68,063834;68,063834;78,389238;104,469579;146,677327
1990-04-30;369,039652;2876,436646;227,021517;107,735313;83,825184;112,613987;109,251425;79,025231;79,346637;82,566114;89,941792;33,140738;100,978636;32,423453;340,843176;84,301229;85,738516;84,151141;40,58763;;110,900994;97,513814;235,642214;97,982603;94,281825;83,301308;53,418214;84,182023;92,948777;106,651819;93,543965;83,636518;112,408063;91,217902;74,45806;732,131208;1151,351586;243,211466;572,158259;576,033407;223,275955;368,37938;123,704608;174,437325;289,85833;2392,469889;3500,2816;4648,505211;5846,894246;523,862024;949,702264;496,028221;241,974999;1143,074353;90,130993;225,169108;96,369386;112,548782;114,669853;113,644707;96,101307;424,264211;280,654615;125,549306;147,297569;92,005374;112,832993;70,715364;332,146661;126,57725;79,240173;235,828258;64,900196;77,439332;84,612685;111,185978;116,803681;36,146448;67,297834;74,56345;107,223403;39,716033;199,021848;50,250828;33,358027;202,536182;99,676222;73,461586;64,253935;61,790381;63,923992;80,938404;83,572908;127,055909;44,8556;169,366006;171,147083;468,92494;111,261747;333,258095;441,653796;162,564954;164,535549;66,804532;102,399521;146,463415;169,919013;110,618101;243,237804;189,958695;390,846951;230,162283;99,23366;90,699747;194,603348;422,005021;83,843316;139,693619;208,252904;108,284173;171,460041;163,737168;227,626356;148,819348;112,988684;88,928089;174,250088;100,329669;94,585962;92,337966;151,568175;276,168446;189,730993;155,011853;80,601766;184,414275;70,277318;108,937856;39,325309;25,494346;141,498274;244,171117;59,873059;98,029068;3277,058722;38,245886;21,449843;112,783847;138,673293;140,84684;38,561412;85,845326;128,413737;124,791809;111,510752;152,97068;88,40583;89,765955;82,739765;105,920011;104,472911;121,641104;217,230662;99,596959;82,315481;72,071828;64,001563;137,304921;153,681388;157,332158;436,254346;114,424373;109,924968;167,620425;56,145208;176,270229;119,101599;80,028983;29,383946;66,52301;92,849221;20,557857;35,435907;58,356924;350,253119;388,357438;233,519321;167,077739;148,231679;265,266357;52,664854;102,759653;55,873816;90,737279;39,193668;81,508646;115,29923;67,811811;72,224655;76,046579;109,890153;65,448841;65,448841;80,17001;80,170007;78,898007;103,298615;144,705619
1990-05-31;359,744517;2812,356009;217,609498;111,582821;88,017387;115,356865;109,319816;82,363272;77,872047;84,396756;92,120928;37,299217;100,371464;34,164717;406,967085;83,570634;85,281702;85,906396;40,047636;;112,229652;97,793029;283,005086;99,169296;100,419772;85,520639;51,438683;88,666903;93,105301;108,250206;95,689773;89,587365;109,563283;89,571214;79,436165;739,926405;1158,044448;245,67443;585,971969;602,223962;218,936283;358,681473;121,041915;164,260141;278,725154;2310,440232;3403,159409;4538,287723;5990,865703;509,517779;1123,27364;483,477749;247,046762;1219,956593;87,865961;234,693937;97,55899;103,450044;116,402102;116,669148;94,929355;402,609535;278,142511;125,549306;146,57284;92,005374;134,740483;68,276513;328,482268;127,287099;80,673506;238,133504;63,504979;70,970848;86,735633;111,899804;116,319382;36,954095;70,38919;74,92702;105,229479;38,08859;203,11144;49,721381;34,696742;212,206671;101,001691;78,786312;63,552506;59,274499;63,812383;82,470809;80,260564;127,804488;57,616381;176,13478;175,06343;479,15486;113,475402;333,52747;436,045489;157,92832;163,521999;67,053954;106,102599;144,889991;174,555516;110,930643;276,230197;193,225631;394,628997;244,410778;107,013373;90,459819;200,609723;464,210411;79,37154;142,023394;217,704839;108,79631;179,119061;163,22272;241,097627;152,299296;108,341431;91,916654;165,910348;96,246033;94,428387;92,272971;160,767727;276,570107;188,43756;164,209935;84,795971;178,567085;72,933838;113,15815;39,062972;25,538637;135,210116;288,531702;61,239763;103,682249;3248,790644;37,547145;21,325138;113,937162;151,584518;147,607516;46,523713;103,66238;129,858312;125,181067;112,47601;164,149382;78,462606;88,958654;84,828037;103,371249;102,224097;116,872408;176,250792;98,519832;79,851806;71,698893;61,077442;126,634487;150,725264;154,784997;415,130877;111,47808;104,670125;165,904914;57,030861;183,279017;117,27483;75,313878;28,089458;64,065381;87,800208;18,645932;42,44453;57,617913;315,294483;399,962322;238,620602;166,039421;151,936658;267,957123;50,929594;102,128143;54,908403;89,917854;37,547436;100,134926;110,968239;69,609171;73,374167;72,928165;106,682193;63,733528;63,733529;70,437646;70,437648;79,580316;104,567273;145,547987
1990-06-30;356,633866;2667,994851;241,752255;109,589261;83,065657;108,989874;109,048225;80,422317;70,267847;81,990031;88,837144;35,960356;98,078714;26,549361;423,119429;84,519456;85,217115;87,241163;39,668644;;109,275786;96,5302;238,620952;99,132862;95,457715;83,126785;49,748583;85,402972;90,866914;103,604047;95,780617;88,200398;112,181743;96,467281;70,653441;680,195946;1157,533984;240,023829;550,031902;612,627483;192,975311;354,212576;122,585161;169,228779;284,687719;2322,910575;3429,940593;4580,562572;5528,431189;477,228212;1166,601609;492,70073;250,063639;1146,499774;89,128929;230,086041;93,722193;105,741539;114,150524;114,54587;90,540672;420,82199;250,922936;125,549306;141,08471;92,005374;138,453323;65,809967;326,939706;129,453988;71,280365;251,106671;63,565113;71,542739;87,83663;109,252934;118,88226;35,352833;67,691656;75,334622;107,029093;35,684091;207,668903;50,276768;33,807252;197,443825;97,132028;76,791397;64,413441;60,366214;63,271791;81,429641;79,255856;122,832623;53,484932;200,036875;168,632254;461,170421;105,300209;352,308665;423,729592;160,124087;160,34952;63,767472;105,507556;145,691633;164,116977;110,808216;279,02369;186,49166;389,450423;234,642293;100,332377;91,094175;204,810078;387,850233;91,548234;138,815246;198,640263;105,662935;168,503726;163,674113;230,015272;140,323928;95,84316;91,347477;169,116504;95,73262;95,724844;93,685451;155,186439;274,763405;187,391822;166,229742;84,234633;186,107816;69,997695;113,84668;38,849908;25,102713;152,536447;190,712063;59,555097;85,162753;3248,428644;35,998891;21,379238;111,658929;147,430846;148,940593;42,079399;92,763574;126,381564;120,982637;101,198186;160,119852;83,151491;87,416212;78,505234;104,018288;103,774583;117,994224;189,78959;100,100427;83,326671;71,55605;63,041535;126,203277;150,407217;153,1886;425,802796;111,099009;105,784812;163,995498;56,659227;177,25138;111,334452;75,899446;28,240043;63,850386;87,176748;20,019828;34,450985;59,197088;340,731116;387,530253;232,977787;164,567701;149,160557;273,565062;52,391753;101,14133;54,088833;90,643143;39,076781;80,721237;113,805691;69,70757;70,503048;75,189301;108,523748;65,564359;65,564359;72,126441;72,126442;80,049713;104,194057;144,704789
1990-07-31;304,712575;338,623185;241,23151;111,633752;87,215506;113,898662;110,623765;80,418819;77,251732;82,691701;91,451785;35,963229;101,051216;35,829471;496,372975;86,068829;85,285031;87,577945;42,645655;;111,981406;100,74426;242,215512;98,120019;95,206809;83,705153;48,302998;101,515318;84,130643;97,626672;103,317641;76,945395;116,321595;96,667928;68,856378;734,944256;1133,042381;243,178062;533,840756;573,505392;245,42214;325,065386;112,621387;154,518732;259,283492;2286,871984;3327,071554;4352,726074;6972,81757;483,271629;972,256974;482,036299;260,169498;1192,996014;90,086969;230,514291;87,799744;99,817189;121,179771;115,549938;90,80802;432,496425;258,173323;125,549306;144,613359;92,005374;137,156777;68,341372;284,768541;132,747849;76,799444;253,761055;68,618701;65,578766;83,671785;106,640889;121,847716;36,954649;67,924069;76,374603;104,506135;40,93883;241,925696;49,794358;33,567187;202,323801;99,106936;76,519602;64,99334;63,222062;66,454737;79,335334;79,493642;124,178194;61,533116;195,091209;183,116274;531,839726;109,394993;412,161045;454,389361;162,105011;163,755825;67,412913;105,951945;131,744025;154,51447;113,617866;31,158681;195,800345;418,97767;236,395715;102,611104;81,590883;204,185777;421,825144;68,788473;148,950884;201,736933;138,278908;208,346039;169,025754;249,39731;168,684778;119,880646;89,65471;160,88232;98,210528;98,957452;91,258057;161,636589;271,957581;194,473087;155,998064;85,797768;184,474641;78,091643;120,706487;37,635758;24,439575;115,970348;257,360139;56,774617;101,177427;2581,944275;34,031243;21,79772;114,222361;147,371045;150,600585;47,779898;98,597671;126,975664;117,722685;116,666182;145,356286;102,888089;73,951087;82,853935;92,298985;103,617569;116,78369;220,280957;100,652125;74,113042;73,47661;60,692899;123,554936;141,45644;154,043152;404,737224;114,493048;109,930317;154,458565;54,966054;198,907223;117,383158;74,537895;27,804957;61,692313;86,923177;14,136187;31,413815;61,108634;327,939605;372,425756;227,81721;165,043829;140,761684;273,438482;53,636537;101,869036;55,551056;90,723017;38,784365;84,479616;116,850433;70,065016;73,37407;74,76378;105,981797;65,108065;65,108065;73,047171;73,047169;80,58205;101,440619;145,726938
1990-08-31;360,18968;2028,722703;277,518613;109,377532;87,360503;118,828941;108,988732;82,300899;78,394867;80,959932;89,016377;42,069077;101,483816;34,751784;380,644315;80,508861;83,722615;86,703451;40,498404;;108,475863;86,748384;226,466103;98,814196;97,415389;83,9631;45,99035;72,499836;91,862721;107,664171;100,930399;85,271073;106,98036;96,113095;75,712127;695,566183;1104,521809;241,793844;519,797785;552,860884;176,940705;291,81667;101,747851;139,40045;234,674497;2238,779536;3188,525069;4355,719771;6112,894492;514,860527;973,787045;460,42505;266,972482;1184,137048;84,963206;208,989514;83,727386;103,566545;113,773827;104,12474;87,991721;425,284192;261,11965;125,549306;146,834412;92,005374;134,935205;66,430418;317,660257;126,613877;82,812961;255,301408;65,771242;75,326066;77,654387;102,332898;111,163954;35,592245;68,720286;73,232289;103,377023;36,189679;237,359128;51,590632;34,589255;206,132485;99,634602;75,658915;60,024548;68,626653;64,710764;75,412887;82,195942;124,540841;50,581126;206,551522;153,933874;461,899491;110,871596;221,007755;441,705447;153,395517;161,279206;67,194036;105,077557;128,83199;154,616232;108,644509;391,598484;155,58234;329,460229;226,450817;105,381562;90,011009;195,084049;430,841979;79,316874;129,800106;191,28917;78,312736;116,914161;169,750997;236,38477;121,588856;104,91813;87,473994;150,867912;91,981536;98,654882;93,584377;139,634904;280,00094;184,130693;153,203084;75,997001;187,390934;63,767954;110,20987;36,673524;23,522158;121,348339;240,128392;56,167988;97,461755;2671,951249;49,568695;21,93005;111,567443;140,477978;142,291683;44,77992;95,320846;120,409661;120,543152;115,391482;133,333587;92,943983;76,790662;85,111069;95,011665;102,509508;110,626857;224,40254;95,927759;66,167433;73,483519;58,918061;119,185024;140,045921;137,868619;411,92297;114,000404;104,868049;151,642915;54,980811;235,636386;108,09865;58,302565;26,867797;60,576413;87,063371;14,598265;38,591234;58,888566;321,603726;381,524336;224,784055;137,390268;142,518336;263,327981;51,448223;99,806232;53,173576;91,001006;41,583682;84,050707;116,846484;69,785617;71,729359;75,611401;105,580553;65,777666;65,777667;75,668675;75,668678;81,002251;101,871232;157,773181
1990-09-30;363,193818;3248,355374;240,167943;111,594002;83,589264;83,534366;110,108732;80,869385;66,254475;82,970637;89,465042;41,87554;101,753386;35,217932;383,744122;80,248217;82,248112;84,510663;41,441674;;106,026152;98,895981;215,416619;97,386863;94,028516;83,250728;55,69162;85,597379;94,099056;106,553275;95,145136;68,500266;114,614437;95,991554;71,384696;694,462031;1108,461618;248,805358;521,636012;575,275311;216,772281;362,344115;117,421038;167,407489;281,525385;2214,773294;3299,432333;4269,823285;6155,764379;511,456345;892,602302;469,269207;274,219952;1141,823005;88,058863;220,477689;89,379258;101,549339;111,640499;115,353127;88,577106;439,287726;235,829603;125,549306;146,298286;92,005374;134,16643;72,789282;308,858552;127,228386;81,238221;253,150275;67,599973;73,370302;81,828685;108,629049;122,570357;35,725393;68,148896;76,926692;107,949409;42,706333;210,453884;50,985301;34,028685;201,388071;92,379216;80,411848;66,868185;69,90442;65,753747;75,004502;77,524887;122,994465;55,300908;188,695878;157,791784;479,61566;110,733366;397,88181;445,540187;159,229741;163,923121;57,274936;106,859239;130,323989;162,240171;113,676968;281,942419;174,243724;353,955461;224,630724;105,581051;85,834729;196,588565;436,220967;78,646199;142,292521;202,122113;105,522666;168,664058;163,138214;218,657545;138,755511;106,533857;86,437876;168,816943;95,561507;98,616796;90,028987;149,620461;275,380936;184,740043;155,739513;88,624168;171,662063;71,033504;117,26894;38,881972;25,423149;123,365768;261,4711;53,690464;103,758912;2562,997198;46,288875;22,021847;116,788013;151,687215;154,598798;44,53932;97,486835;123,82129;119,76276;122,899656;151,556692;97,915314;74,407518;76,025995;90,879575;107,217479;116,086121;193,331323;101,202562;78,677923;73,607792;62,540629;130,009247;137,001846;147,488686;408,535416;113,272899;109,622209;150,549476;55,145904;191,632135;103,844873;73,579299;28,23056;61,926754;87,922614;14,618352;41,809705;59,70062;332,028206;353,197587;222,874649;157,531819;145,56915;270,081153;54,276752;101,182301;52,335828;90,033285;43,377494;80,017954;120,071723;70,411299;72,411215;76,282074;108,457956;64,320936;64,320937;77,435352;77,435353;81,639143;103,33455;146,010611
1990-10-31;360,046917;3107,531332;257,136933;111,827975;93,089462;119,796605;110,839404;78,361454;66,039163;83,190471;90,582195;43,769306;102,158378;35,890844;379,809276;81,597621;83,938706;85,120964;43,305968;;109,959502;106,12707;240,986757;88,409432;97,381478;84,638014;46,911257;83,619471;93,179655;107,099256;89,163653;69,647307;104,242442;95,313706;71,288123;725,502086;1081,125527;242,762401;548,486561;564,788621;221,674306;354,574173;128,853724;182,436341;311,23222;2150,05438;3126,549922;4245,739576;5502,530865;480,976688;1074,10685;454,034334;297,252615;1150,927037;82,90527;252,817852;95,045085;115,754839;116,856442;116,898023;90,841568;431,104647;215,388737;125,549306;142,37731;92,005374;128,705213;71,934183;287,300566;130,776532;85,235697;264,082543;67,467667;67,726017;74,37808;109,13703;116,390659;37,566395;70,597433;75,385236;102,469593;41,414743;213,310841;51,004743;34,427579;199,88121;93,358784;83,576324;65,61276;66,838246;64,415373;74,048887;76,738154;122,863226;54,294725;197,225442;168,751464;499,439799;113,038655;313,154197;458,453189;162,922833;166,532313;69,374269;105,963346;136,088507;159,236098;109,061101;247,288069;168,334318;383,193186;200,360832;101,240004;90,372205;178,223918;433,170007;80,141103;141,159609;206,102126;106,82299;169,328374;165,111194;252,079706;140,196765;107,842357;129,328796;178,291496;91,719926;97,488172;91,595691;152,38148;281,296312;185,212588;145,412071;86,766689;163,359479;73,805572;117,093177;36,466281;23,565678;104,023208;255,936184;56,709439;100,591405;2350,55866;44,866252;20,773689;116,787236;141,904583;152,43913;44,754648;95,437045;122,082367;118,85859;122,741008;135,961352;104,250445;74,114361;76,829505;118,787404;99,601868;110,765986;198,781568;96,172458;55,18365;71,483045;61,983321;138,470538;149,414493;334,973076;420,838777;108,163706;101,109309;127,031009;55,722559;179,603214;106,332973;82,933645;27,086162;60,913523;89,136283;19,359421;41,72196;59,484493;325,399007;420,523669;225,23112;169,871829;159,114928;261,640027;54,718046;101,785674;64,784654;88,21854;42,031319;78,506997;113,69698;71,656281;71,440192;75,251934;109,258911;62,122574;62,122574;60,650373;60,650373;82,32973;103,761435;142,450981
