;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020
1990-01-31;386,294683;2809,581951;229,647416;110,65898;90,031341;114,522968;105,496067;80,193862;76,239898;81,975816;89,470404;38,719058;99,920145;34,447005;414,953653;81,575407;85,130365;80,726607;36,685657;;110,842645;94,37228;236,121953;100,63865;94,025041;82,772838;50,696066;75,525323;92,843919;106,211097;104,796538;89,386053;109,105955;88,170663;78,389463;751,783101;1227,437722;255,761943;580,506846;546,482647;211,162313;352,480093;122,255073;170,774628;288,377867;2372,181975;3443,212453;4691,459121;5232,663666;529,185005;1006,588814;500,17046;241,593807;1163,013572;92,950305;228,975152;106,361863;107,16892;115,739206;114,544466;93,125072;433,768208;293,04408;125,549306;145,966886;92,005374;120,883294;71,073594;332,098182;129,482428;84,995959;240,465787;63,4064;80,145503;91,074126;114,363477;117,95399;36,759778;67,637425;75,542452;111,669544;36,274629;189,08843;48,605607;32,622116;208,935803;99,082917;73,838847;62,382935;59,631238;64,598544;78,889214;82,099564;120,963065;56,056945;180,232281;169,738162;475,961835;115,553872;334,62537;441,445756;159,966111;163,434886;63,80072;105,764158;142,97802;167,445223;107,627238;260,242198;205,029572;412,84896;223,746376;99,499432;90,224773;195,455922;426,649968;83,218393;145,40414;234,236747;112,233198;177,892633;166,370004;224,034308;133,84759;98,393278;114,498337;178,40314;102,897157;93,000569;93,128872;158,372265;274,633506;190,975304;160,435826;80,741333;182,794715;72,303987;110,312615;39,96971;25,850631;124,565193;265,820876;56,851282;98,463445;3658,878188;36,934304;20,823268;115,569305;126,990934;139,946365;41,263901;88,934778;129,34739;130,111792;110,549736;147,041668;96,941322;88,528525;81,724887;104,429492;104,34274;118,788683;202,436339;97,636024;65,40419;73,103801;64,044157;151,627221;152,873606;141,908778;486,70615;115,044655;119,829126;165,106637;60,550695;186,861674;123,635109;90,436106;28,403984;67,176663;86,187459;15,826732;34,310379;58,552013;385,643833;351,157457;231,842108;169,694928;146,501825;262,022871;52,091149;102,94258;56,374724;91,504043;38,98974;75,838701;114,682746;69,294081;71,660835;68,468174;107,07795;61,9775;61,9775;69,38075;69,380751;77,53986;102,983948;144,696479
1990-02-28;381,103456;2811,402112;230,268765;110,446288;89,470475;114,175857;106,172019;80,262241;76,477563;82,040279;89,479318;38,244499;100,004461;34,38949;412,653589;82,283659;85,092466;81,944991;37,613494;;110,324552;95,119077;235,105213;100,15848;94,362016;82,857024;50,515658;77,995505;92,838977;106,261318;103,797244;88,869334;109,463166;89,21061;77,429782;746,034424;1213,928756;254,036706;579,742129;556,471149;213,156519;353,798106;121,985782;170,013377;286,73685;2363,257844;3452,266359;4667,837888;5353,65919;523,708408;1004,50485;499,448262;242,043023;1165,756467;92,592307;228,754368;104,298307;106,905851;115,821481;114,866889;92,82713;431,94103;288,609929;125,549306;145,975049;92,005374;123,319277;70,374447;329,875263;128,778607;83,395697;240,183711;63,634134;78,677697;89,251203;114,05115;118,101183;36,780451;67,876143;75,550315;110,924341;36,96945;191,713796;48,933684;32,89335;207,876556;99,459052;74,450694;62,835384;59,674701;64,506159;79,735002;81,852909;122,295871;56,24407;181,561301;170,406883;475,530854;114,579951;335,233185;441,33521;160,021135;163,56675;64,299903;105,593564;143,975373;168,101824;108,434224;259,921121;201,975068;409,619739;226,771688;100,389248;90,4708;195,960262;426,646761;82,678537;144,180787;229,489182;111,455533;176,886973;165,545385;226,378188;137,764449;100,510172;111,571547;176,864607;101,828067;93,445272;93,04723;157,738026;274,516607;190,542188;159,953589;81,283564;183,063678;72,251727;110,955183;39,865796;25,788174;125,082283;262,552465;57,498912;98,586039;3576,06134;37,293443;20,914719;114,793802;130,685841;141,757361;41,674305;89,775658;129,308459;128,823396;111,336632;149,244951;95,020554;89,052219;82,31441;104,341425;104,351799;119,200016;201,951968;97,707958;69,4128;73,0341;63,773537;147,717299;152,492514;143,407565;474,864504;114,975951;117,654291;163,05431;59,839278;185,693196;122,606583;87,599202;28,505032;66,779778;86,242985;15,685032;35,172978;58,641951;377,390925;358,77122;233,174433;168,926554;146,909921;264,484822;52,127731;102,95088;55,857586;91,275656;38,858423;76,753969;114,673446;69,294701;71,652434;69,289272;107,341698;62,386285;62,386286;69,551143;69,551144;77,930873;103,325897;144,795372
1990-03-31;375,317614;2816,127413;231,642536;110,181601;88,82523;114,0412;106,924496;80,43225;76,606421;82,144691;89,543702;37,861657;100,132697;34,280371;409,472042;82,93407;85,103077;83,28373;38,535976;;110,154994;95,956372;235,346114;99,785128;94,779272;83,026753;50,328519;80,627818;92,740011;106,31967;102,286465;88,358803;109,808611;90,457164;76,634593;741,784149;1196,84214;252,147991;576,803488;566,149236;214,917316;353,84908;121,647403;169,1211;284,824389;2351,384579;3448,502363;4637,126869;5498,945059;518,055064;1011,278245;496,998253;243,268795;1169,311217;91,817556;228,695227;101,790825;106,762359;115,736014;115,127513;92,651065;429,513938;283,739721;125,549306;145,761666;92,005374;126,180992;69,493105;327,926786;128,10061;81,969496;240,541356;63,838543;77,471532;87,931705;113,305353;118,080527;36,720741;68,134792;75,606302;109,822835;37,561457;195,705171;49,233667;33,230372;206,831921;99,85355;75,024467;63,286584;59,993099;64,361659;80,392856;81,613225;123,654347;56,113732;183,149492;171,003033;474,718533;113,52432;335,378551;441,317394;159,861613;163,391214;64,862932;105,397317;144,381389;168,182136;109,123369;260,433697;198,292992;405,339271;229,719605;101,354548;90,679694;196,569546;426,715155;82,339853;142,854751;223,359353;110,486978;175,617692;165,010448;228,933804;141,66463;102,646414;108,135087;174,880286;100,370588;94,020029;93,052791;157,48713;274,788993;189,867806;159,449256;81,896118;183,563695;72,106566;111,658953;39,634095;25,660717;125,150157;261,222474;58,149232;98,952312;3464,373854;37,452441;21,039885;113,910554;134,543457;143,304341;42,240492;90,955454;129,05177;127,306667;111,986825;151,634518;92,986359;89,103046;82,758504;104,349741;104,227605;119,141275;201,269434;97,955882;73,133492;72,923461;63,331926;142,636406;151,339803;146,320918;461,033225;114,610493;114,849899;161,468417;58,968536;184,42476;121,056144;84,449013;28,506498;66,142152;86,44316;15,459094;35,930353;58,760538;367,404769;367,516626;234,109228;168,139767;146,925279;266,463903;52,139373;102,78287;55,434438;91,054999;38,785634;78,085192;114,730418;69,309943;71,67008;70,332089;107,487941;62,967005;62,967005;69,962788;69,96279;78,405436;103,573288;144,987387
1990-04-30;369,409213;2825,78032;233,510015;110,025626;88,163741;113,845787;107,64602;80,621159;76,77743;82,278542;89,64194;37,384076;100,281293;34,173228;406,58329;83,462738;85,068184;84,62653;39,421981;;110,089966;96,768395;235,495609;99,345892;95,137029;83,218761;50,046478;83,190467;92,587189;106,38847;101,070248;88,063231;110,136488;91,876708;75,811822;737,011904;1178,780879;250,153963;571,554906;575,994404;216,189706;353,86726;121,07758;167,944391;282,530195;2338,800901;3438,272971;4598,814505;5662,259212;512,958383;1015,803068;493,889739;245,102857;1172,624629;90,928827;228,625;98,883733;106,583551;115,556038;115,293371;92,345982;427,277054;278,0496;125,549306;145,55312;92,005374;129,44374;68,660777;326,323313;127,799767;80,587633;241,626363;64,122528;76,177309;86,658867;112,201324;118,189121;36,600184;68,31303;75,583036;108,527541;38,080682;200,417122;49,550605;33,551683;205,59295;100,007867;75,645617;63,736779;60,448834;64,274054;80,883174;81,265108;124,797173;55,805827;184,749283;171,272032;474,032999;112,354948;334,946577;441,486192;159,773034;163,252304;65,374743;105,281236;144,08456;167,701257;109,913044;262,784234;194,340618;399,770083;232,721835;102,207594;90,780623;197,020331;426,643365;82,119711;141,672376;216,675026;109,388656;174,1428;164,72208;231,486638;145,030945;104,872897;104,510352;172,431885;98,932034;94,728591;92,990743;156,962165;275,057913;189,092402;158,898221;82,664503;183,895339;71,834899;112,28918;39,326046;25,488763;125,069647;259,994494;58,6694;99,386825;3332,797961;37,340757;21,199725;113,197882;138,79843;144,88558;42,692436;91,885928;128,674149;125,510783;112,629771;153,843587;91,072666;88,769341;82,955894;104,278339;104,01981;118,872029;201,44731;98,179269;76,35672;72,804561;62,822379;137,03359;150,056098;149,214872;445,823593;114,177511;111,952326;159,809242;57,995804;183,770094;119,013346;81,129722;28,455043;65,342141;86,67871;15,188586;36,452331;58,85802;356,842063;375,670344;234,465839;167,23357;146,867072;268,329524;52,176012;102,50266;55,115849;90,854925;38,740451;79,26942;114,832254;69,362395;71,729542;71,554613;107,543065;63,646056;63,646056;70,579751;70,579752;78,931406;103,706544;145,203842
1990-05-31;364,207409;2849,872364;235,999047;109,962324;87,653798;113,740851;108,340682;80,834594;76,950217;82,416207;89,736846;37,06848;100,459471;34,151138;403,713274;83,727526;85,00909;85,78584;40,156156;;109,932734;97,474771;235,63529;98,924757;95,44222;83,395857;49,747989;85,328277;92,382439;106,49024;99,888062;87,774538;110,391945;93,352641;74,950082;731,659136;1161,041779;248,269436;562,913242;583,747546;216,584716;354,131501;120,099229;166,406111;279,772005;2324,958608;3416,590643;4549,94903;5833,404982;508,346933;1018,612073;489,716257;247,705401;1175,704151;89,941825;228,369432;95,700364;106,648577;115,24577;115,318894;92,026301;425,83645;272,120866;125,549306;145,31955;92,005374;132,704555;68,006594;325,113914;127,879259;79,476478;243,675917;64,496203;74,876614;85,286203;110,748811;118,480641;36,410915;68,474653;75,568341;107,145785;38,61032;206,070138;49,867683;33,813572;204,280055;99,831277;76,259317;64,181825;61,243502;64,331264;80,972163;80,840034;125,451736;55,219792;186,312012;170,888368;473,584843;111,185848;334,378552;442,074194;159,656332;163,235899;65,925733;105,23841;142,517342;166,24463;110,712128;266,882424;190,248599;392,827305;235,187053;102,921342;90,686937;197,38387;426,618469;81,862888;140,819272;209,673186;108,275116;172,511582;164,923659;233,81565;147,205071;106,844042;100,792327;169,749276;97,614338;95,567719;92,846916;156,398705;275,429686;188,356839;158,147465;83,53688;183,998023;71,445029;112,960357;38,921706;25,25783;124,582327;258,404169;58,804029;99,717255;3184,664565;36,834241;21,411224;112,770891;142,799183;146,513403;43,175835;92,898309;128,063405;123,572613;113,226774;155,134881;89,716885;87,719057;82,723995;104,230205;103,741718;118,275012;201,648768;98,365775;78,19519;72,710478;62,260185;131,431184;148,727113;152,53322;430,991241;113,740977;109,395904;157,724615;56,988762;184,441414;116,462791;78,027468;28,319014;64,377506;86,934544;14,872274;37,05127;58,976585;346,564926;381,287517;233,809948;166,290386;146,762571;269,727777;52,284878;102,097912;55,016063;90,739065;38,853293;80,463837;114,994949;69,430555;71,766571;72,862342;107,38003;64,322328;64,322328;71,455349;71,455351;79,472476;103,636169;145,46284
1990-06-30;360,669113;2901,082679;239,200419;110,026307;87,252802;114,032109;109,003389;80,912641;77,063105;82,55778;89,829245;37,287312;100,691189;34,287645;400,516497;83,606475;84,931487;86,478884;40,739011;;109,684687;98,247114;235,962794;98,46364;95,720075;83,553725;49,33744;86,565305;92,204357;106,64688;98,930466;87,561551;110,514408;94,658889;74,092904;726,112046;1144,551724;246,644561;551,793529;587,555867;216,245268;354,749154;118,84671;164,916273;277,181481;2307,506311;3377,913536;4486,448602;5974,166787;503,997678;1020,102481;484,284704;252,079856;1176,841192;88,820393;228,012969;92,811795;107,072599;114,916406;115,286114;91,680477;425,605364;265,204701;125,549306;144,983136;92,005374;135,096647;67,87405;323,009219;128,389662;79,042112;247,185111;64,989758;73,671525;83,789939;109,234163;118,852099;36,230363;68,632397;75,560556;105,855555;39,175753;211,938772;50,170297;34,000222;202,980344;99,150051;76,874017;64,669274;62,476436;64,557977;80,386785;80,258282;125,391662;54,575874;187,733821;169,705458;473,348656;110,35069;333,199946;443,21492;159,710304;163,268935;66,438701;105,293131;139,778649;163,972452;111,360552;271,419621;185,991148;385,502299;235,70853;103,389711;90,392665;197,377885;426,713364;81,575579;140,482344;203,625722;107,311887;171,019015;165,439638;235,659021;147,567424;108,11167;97,171481;167,49892;96,456315;96,462843;92,624402;155,768016;276,051988;187,644643;157,030347;84,506064;183,67399;71,141555;113,649705;38,43432;24,960857;123,511305;256,619213;58,389809;99,989386;3021,101406;35,806296;21,634754;112,824016;145,754668;148,143321;43,624658;93,863176;127,158825;121,773034;113,987088;154,68465;89,764619;85,684342;81,915825;104,247395;103,382976;117,245345;201,961195;98,497075;77,858;72,620132;61,746903;126,940137;147,375071;161,104412;419,590452;113,280655;107,542816;155,04415;56,092874;186,347327;113,616718;75,908668;28,104019;63,343476;87,206935;14,510822;37,594632;59,134877;337,803189;383,704749;232,087709;165,35357;146,526097;270,105817;52,528012;101,671181;55,269856;90,649938;39,255113;81,4498;115,167329;69,515748;71,760773;74,023348;107,139084;64,763681;64,763681;72,48261;72,482612;80,014863;103,383342;145,710367
1990-07-31;359,288894;2973,094507;243,432723;110,356813;86,929147;114,925426;109,635324;80,794642;77,118282;82,733383;89,967963;38,148599;100,978266;34,547165;397,469309;83,094707;84,818859;86,598549;41,207787;;109,500787;99,108924;236,828744;97,957626;95,968658;83,72689;48,82306;86,613972;92,25175;106,88185;98,250362;87,484276;110,432569;95,600228;73,300866;720,400683;1130,464264;245,29053;541,125041;584,806696;215,924999;355,661831;117,925764;164,443749;276,222901;2281,286078;3320,913755;4412,186115;6038,996373;500,77867;1021,889924;477,956346;259,21858;1174,510838;87,728534;227,643143;90,951708;108,093827;114,862945;115,331522;91,383469;426,915367;255,966744;125,549306;144,536441;92,005374;135,78316;68,332656;318,38639;129,173076;79,530914;251,978967;65,715376;72,57214;82,292813;108,100595;119,229623;36,12056;68,756507;75,574236;104,884258;39,760889;216,235975;50,470466;34,116925;202,230979;98,072358;77,391551;65,134882;64,165173;64,861333;78,930975;79,572765;124,826655;54,088534;188,73952;168,033686;473,357295;110,233162;331,315841;445,081034;159,865652;163,38081;66,936847;105,512521;136,637971;161,82144;111,646627;274,76389;181,757109;379,11627;232,948996;103,663957;90,080085;197,0151;427,4187;81,452031;140,60647;199,86536;106,69179;170,054843;165,843552;236,15645;146,090415;108,441536;94,169066;166,187841;95,53234;97,388705;92,357226;155,168076;276,849381;186,978067;155,582487;85,570061;183,129223;71,029039;114,362066;37,919287;24,627283;121,856711;255,073868;57,539914;100,290989;2847,82782;34,281687;21,720546;113,346226;147,250261;149,832564;44,023962;94,755402;126,04319;120,43037;115,554506;153,089511;91,511543;82,672075;80,624503;104,338682;102,966052;115,87982;202,548105;98,643099;75,160058;72,527764;61,416993;124,467353;145,996913;180,494445;413,436891;112,810676;106,735568;151,822084;55,53669;187,629056;110,743547;75,345913;27,879937;62,401197;87,524458;14,140085;38,030177;59,334714;331,84817;384,298647;229,61974;164,516492;146,106077;269,556571;52,920571;101,291927;55,942959;90,443629;39,979128;82,344947;115,411291;69,7266;71,740939;74,899705;107,078742;64,98657;64,98657;73,655984;73,655986;80,564284;103,046648;145,798348
1990-08-31;359,585126;3042,429902;248,389984;110,933502;86,787316;116,243813;110,221689;80,633059;77,113194;82,955502;90,176412;39,680547;101,299145;34,905857;394,497855;82,427104;84,670835;86,274603;41,595255;;109,466894;100,147536;238,118006;97,424602;96,278507;83,939292;48,260552;85,867228;92,604402;107,176635;97,848101;87,517703;110,097904;96,065671;72,651928;714,437841;1117,680483;243,931776;533,893992;576,089963;216,376854;356,597526;117,902757;165,555942;277,880536;2244,431396;3258,268738;4343,035707;6008,16568;498,956859;1024,704729;471,043222;269,023023;1168,906849;86,922838;227,124273;90,503007;109,681213;115,360855;115,554019;91,116206;429,439128;244,469228;125,549306;143,925539;92,005374;134,888198;69,0628;310,972319;129,610671;80,757033;256,261618;66,667942;71,585332;81,034315;107,653463;119,457898;36,166296;68,811208;75,545249;104,340221;40,316203;217,860215;50,741988;34,191829;202,401394;96,875608;77,758077;65,466725;66,111631;65,039601;76,956887;78,875375;124,24638;53,73557;189,438288;166,620142;473,593955;110,752172;328,76423;447,869037;159,674218;163,52214;67,405463;105,950226;134,004183;160,372246;111,495366;274,353155;177,799897;374,778831;227,33631;103,939573;90,006002;196,425075;429,480055;81,654596;140,856596;199,283849;106,51012;169,524037;166,072134;235,432509;143,332773;107,872653;92,053929;165,760066;94,694985;98,253599;92,021801;154,545631;276,951562;186,276811;153,730184;86,512132;182,565748;71,200359;114,991035;37,417385;24,287144;119,60151;254,032849;56,580833;100,634074;2679,325949;49,476186;21,589766;114,06954;147,203688;151,492687;44,312292;95,43821;124,851132;119,645163;118,325735;151,326516;94,456609;79,155873;79,199272;104,497856;102,597356;114,418016;203,60415;98,801888;71,043268;72,419214;61,32875;124,121709;144,422347;209,8301;411,814256;112,214165;106,526206;148,226674;55,377958;186,887134;108,249961;76,27085;27,685068;61,662867;87,925977;13,837877;38,347129;59,53013;328,616991;385,076807;226,994501;163,682445;145,528279;268,518392;53,42332;101,053871;56,845545;90,073464;40,933052;83,042883;115,70173;70,203194;71,668886;75,530631;107,38946;65,131579;65,131579;74,823694;74,823695;81,127121;102,852308;145,672363
1990-09-30;360,140124;3084,504386;252,981574;111,637779;86,776484;117,405604;110,742215;80,593154;65,464799;83,237096;90,480806;41,45219;101,62879;35,231069;391,730688;81,893335;84,502969;85,857648;41,925709;;109,689734;101,564739;240,037257;96,903031;96,739156;84,191266;47,705458;85,20284;93,18004;107,576651;97,583438;67,67673;109,63488;96,217355;72,035356;708,005968;1103,03309;242,514067;531,63596;563,757172;217,719885;357,759021;118,776321;167,745441;281,51828;2200,694891;3213,262342;4296,974924;5909,592387;498,78113;1025,744154;464,535838;280,181222;1159,539614;86,461915;226,427419;91,067898;111,889722;116,396136;115,937006;90,937309;432,00621;233,063986;125,549306;143,206883;92,005374;133,551142;69,702184;302,313333;129,203004;82,325021;257,974541;67,684909;70,676577;79,990685;107,692767;119,626852;36,370696;68,746354;75,464808;104,015028;40,787833;216,329832;50,989418;34,292083;203,297136;95,77566;77,827093;65,568125;67,868405;64,893853;74,91039;78,187132;124,085519;53,422331;189,713099;166,413685;473,591924;111,390406;325,63564;451,265311;158,860663;163,679567;67,82865;106,468572;132,693501;159,641521;110,973656;269,929622;174,234575;372,812792;220,329397;104,176544;90,328738;195,78734;432,847701;82,117071;140,847642;201,470317;106,558917;169,052494;165,964876;234,022779;140,646242;106,952733;90,803246;165,827037;93,683062;98,950543;91,599008;154,077525;275,482045;185,505781;151,554225;87,128504;182,031284;71,597242;115,467135;36,935;23,952028;116,614882;253,472986;55,919904;101,005267;2530,126742;47,072977;21,299205;114,768137;146,121652;153,036507;44,386625;95,753662;123,82923;119,158473;121,862446;150,461127;97,53779;75,913121;78,171554;104,836389;102,391755;113,129567;205,194359;98,997085;67,217009;72,283968;61,411711;125,038442;142,399291;241,169468;411,057654;111,4475;105,981474;144,601661;55,428594;184,084697;106,371171;77,936192;27,495765;61,099612;88,459303;13,665519;38,504689;59,699273;326,332719;386,852502;224,793431;162,85732;144,934836;267,338801;53,933343;100,9854;57,683356;89,58706;41,845399;83,775032;116,139211;70,999292;71,594221;76,043818;108,184837;65,344588;65,344588;75,92;75,92;81,710694;102,952201;145,342072
1990-10-31;359,869046;3085,206416;256,668419;112,478385;86,887361;117,845141;111,191766;80,942996;65,551909;83,58573;90,878337;42,753667;102,015885;35,296224;389,676885;81,580466;84,339969;85,658695;42,128707;;110,198167;103,350747;242,350269;96,444551;97,253145;84,489229;47,224394;85,078179;93,865721;108,068353;97,179312;67,938858;109,034955;96,286726;71,539409;701,53471;1083,411867;240,87653;533,63674;550,904751;219,648676;359,125128;120,159878;170,213408;285,595076;2158,817031;3205,021363;4289,105346;5791,032319;499,798604;1023,969503;459,069266;291,618228;1146,626466;86,203405;225,646856;91,946324;114,562358;117,629274;116,353868;90,915249;433,779904;224,137529;125,549306;142,480124;92,005374;132,983181;70,094693;295,163017;127,959732;83,95828;255,989776;68,557894;69,839311;79,232989;107,654116;119,886363;36,647063;68,555644;75,318409;103,550925;41,076428;211,563897;51,212725;34,423049;204,549086;94,802408;77,472213;65,416218;69,130043;64,380801;73,276979;77,646842;124,379545;53,088631;189,544706;167,772453;472,986014;111,745053;322,056681;455,051518;157,730695;163,971579;68,255138;107,110498;132,656217;159,321695;110,339564;263,543369;171,118788;371,69971;213,632842;104,016086;90,965104;195,436649;436,352926;82,896934;140,514293;205,656639;106,388393;168,122473;165,684998;231,829214;138,890496;106,163332;90,44548;165,666657;92,551558;99,342652;91,166574;153,860752;271,641773;184,700934;149,088588;87,279285;181,464325;71,898575;115,786858;36,435415;23,630517;113,174292;253,356674;55,932218;101,315684;2406,700162;45,007309;20,974742;115,480768;144,749688;154,285026;44,252013;95,699744;123,034987;118,606463;125,256288;151,201294;99,9741;73,396095;77,748973;105,340997;102,492392;112,09412;206,697027;99,164089;64,779603;72,10876;61,678796;126,246288;139,737832;263,683878;406,959952;110,45284;104,265854;141,211022;55,44472;180,440122;105,134209;79,709528;27,314428;60,683084;89,137858;19,041263;38,604119;59,786724;323,42679;389,878928;223,275632;162,032395;144,405479;266,109989;54,382878;101,004703;58,326804;89,090099;42,439723;84,547701;116,74175;72,096584;71,509236;76,589393;109,388022;65,788132;65,788132;77,106532;77,106533;82,30965;103,354479;144,909295
