;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020
1990-01-31;395,892609;3017,533674;248,133824;95,57238;108,635471;117,903031;111,206712;82,737292;69,622457;71,152733;87,624893;37,453057;48,155946;37,724607;493,694921;84,447439;60,207092;84,767651;36,442744;;90,313716;106,252853;184,667614;81,73561;93,824644;82,542121;46,42588;73,242982;100,24907;131,780753;131,850976;52,004688;85,487425;90,831956;75,282694;837,444114;1254,586643;293,661554;602,803238;850,424783;220,847549;349,737992;106,483121;170,080667;319,804833;2358,546343;3918,350249;4422,811066;6599,805558;593,178717;1217,601576;512,552496;248,775888;1328,150839;103,704194;235,799412;100,842666;114,325794;121,003255;120,803254;104,169237;487,365289;308,797481;125,549306;139,213979;92,005374;148,196403;69,133305;351,935794;111,156341;90,512716;269,341816;68,30535;86,250247;137,89925;103,608415;107,781045;39,294996;43,514626;75,128921;123,02129;38,645103;204,513126;57,501567;33,945444;221,466761;103,097158;79,072839;65,215014;67,64334;66,974947;78,498015;84,69315;122,199692;56,759987;186,128451;181,490524;519,968981;114,492071;349,181664;518,15801;132,226376;157,851033;69,282545;95,992715;140,091761;45,700943;111,83458;309,018999;241,677211;464,579181;227,533899;111,921395;98,222338;202,862624;458,571746;77,319069;163,223004;243,957449;118,55356;195,062754;149,488136;220,587998;125,871531;87,919531;106,771991;169,372277;112,248441;83,031933;92,943051;144,4066;280,130278;204,443085;153,708497;72,621426;181,218227;81,53517;116,386939;38,870935;26,206007;98,874368;133,037474;51,545446;49,227852;3234,796602;12,044865;18,359211;101,123956;175,687881;173,869554;15,014166;66,752108;130,351275;99,516655;104,224102;148,963193;81,925365;58,804474;85,859255;108,287406;74,234091;119,877593;160,508487;93,53666;52,080675;54,366845;52,750513;152,534459;116,984963;110,885063;469,499164;81,896065;129,466308;110,232833;61,507353;171,380677;129,937227;89,482297;26,987212;67,864274;104,406239;19,543982;59,47668;74,930842;237,146066;225,525794;225,588051;152,046173;141,360558;249,179672;59,101052;101,172351;54,010368;77,335531;29,473004;50,89392;96,521847;44,720403;63,675838;84,722631;98,201569;86,081126;86,081126;116,683961;116,683962;76,499294;104,751855;136,649123
1990-02-28;343,792821;2828,569346;232,616753;96,998055;82,816204;112,035314;94,587681;72,459429;73,795864;73,406339;91,855044;37,192773;41,455948;37,590674;370,926068;77,529917;65,388287;78,846617;32,884195;;116,364947;105,254641;277,860455;107,483134;86,615175;78,939831;43,185761;75,197927;89,987441;111,709262;99,74025;46,067463;83,279972;81,516882;64,634095;786,200359;1165,60587;276,379118;564,08479;432,494004;297,188295;358,940487;103,707767;166,112617;275,983336;2275,464406;3755,716715;7714,441453;7927,476169;524,044655;1057,63597;474,830207;265,963414;1308,324407;94,03879;215,231141;105,350713;107,358766;112,491859;113,584884;92,948115;457,059963;303,087496;125,549306;128,112228;92,005374;115,243078;64,394985;325,046857;101,537126;82,479432;264,382673;63,812017;83,595387;119,115548;119,933474;109,611565;35,475683;43,663717;74,674399;110,611299;34,536987;213,434668;44,022068;28,843371;216,545666;104,697054;72,99107;65,16981;60,073399;66,650992;70,795094;85,310487;119,940135;53,04174;194,224273;178,503695;471,505796;111,483387;310,667042;481,794503;139,081509;155,320377;68,00754;94,871566;153,983041;86,407495;107,798145;277,629053;207,082752;432,945441;216,922236;108,021778;91,565592;192,893326;457,284024;105,633886;149,911024;225,24502;115,731185;183,524737;178,968436;216,275709;115,124266;104,993864;89,322397;174,388078;102,333012;75,994647;87,973179;150,250659;275,225095;199,354264;148,335689;70,31798;194,21906;75,099423;106,900419;39,677007;23,305008;78,688909;243,886893;51,209745;75,507991;3433,55464;21,047943;16,721172;80,466119;169,334481;110,33037;28,759756;91,026386;120,801964;95,2107;97,336409;164,918977;95,962247;90,972236;80,810649;101,607872;102,109737;118,623957;201,828424;78,235485;35,271328;63,771682;59,079539;164,322674;138,586477;77,176883;491,796542;102,973599;124,130311;130,125189;68,681872;181,380937;118,324456;93,165972;25,695948;69,657495;100,347559;12,23625;35,3341;67,273589;495,440976;366,576233;235,204382;153,261832;136,455872;267,625153;51,810803;112,604208;48,491155;80,774387;34,558746;61,212602;93,392988;110,813111;67,496987;70,484209;90,113161;67,334539;67,33454;85,363529;85,36353;69,952537;109,054221;137,392232
1990-03-31;395,463148;3130,635347;264,74647;118,576799;92,174856;125,604533;108,334131;83,668447;77,640551;90,534375;102,950769;45,287601;40,746963;40,91221;401,050721;89,703698;99,315042;89,419527;39,588753;;117,501731;109,753991;285,187388;105,637375;90,460829;88,12077;51,264734;93,985973;97,386621;121,163343;80,037925;59,695856;107,023174;91,349344;77,982572;871,914491;1307,441609;301,863692;656,215479;559,654241;180,607663;312,974564;124,941382;186,829771;288,382408;2229,808152;3553,105299;6827,466657;6694,371853;592,613505;864,360224;590,543641;269,343734;1456,85519;97,472224;251,610006;106,704021;109,665078;127,322067;125,27492;99,57658;462,354047;332,401742;125,549306;148,528015;92,005374;119,089366;66,936341;357,820222;119,170713;82,578981;306,955103;67,916223;88,064555;119,720874;129,94259;130,583854;41,098639;69,260073;85,266563;125,847198;41,404495;214,207093;62,791231;35,747096;238,235302;116,571235;88,192981;72,95564;69,187176;71,733549;80,554183;86,495337;133,482903;61,184814;206,908057;193,624912;529,395247;126,844572;351,739681;512,068939;181,135281;185,698261;85,233285;121,594204;156,229502;197,384299;121,688762;310,355846;225,483866;449,957116;250,092551;117,612831;100,959613;208,851092;490,643672;99,585362;163,247661;246,431783;122,81487;197,514081;173,633307;230,848939;129,413672;103,89854;87,983814;203,726684;109,008436;103,192043;107,270061;173,402622;303,823762;208,569917;174,028064;81,843592;211,985007;77,431667;124,934755;39,475307;26,053978;145,405271;253,915507;59,905737;79,482775;4177,053516;47,41689;22,717005;103,891479;183,957147;194,154269;25,015578;82,811474;130,567007;121,587437;93,707697;165,744091;100,320139;139,5304;96,993893;115,427449;110,593191;134,441354;167,209639;100,935726;80,54901;78,810241;67,372133;179,901454;146,190923;140,090994;494,624907;118,183595;143,52422;137,635805;70,773617;262,339664;138,305569;98,449503;29,909877;75,255709;110,598044;17,486601;40,540572;71,602015;305,754907;497,136325;254,342844;181,02684;151,123749;294,655036;58,211291;103,136506;54,063072;95,210162;38,123806;81,195712;103,958037;89,111155;70,510189;74,151004;101,549518;68,592745;68,592746;85,523737;85,523737;76,647892;100,833421;160,702769
1990-04-30;366,131971;3012,432439;225,175406;112,497129;85,508301;109,572814;108,105499;78,549667;83,07261;80,560734;101,442834;40,090599;33,889248;33,664231;343,915751;89,063776;126,709164;79,798676;36,607895;;114,154357;92,462029;253,266489;92,419104;103,777904;98,377434;57,334131;91,894371;91,543848;106,935478;92,342165;58,682203;126,009499;90,433589;82,150933;763,73306;1142,975392;287,091474;620,332057;677,923256;189,131185;413,768242;131,971172;167,296344;297,192263;2144,505996;2897,101414;4155,119592;5444,442547;458,273426;1327,361076;512,38794;276,751556;1192,491971;91,228547;236,474861;87,864381;108,201301;116,83925;112,676417;96,372581;439,964131;317,018962;125,549306;132,134589;92,005374;100,41928;69,706202;337,349662;137,828305;81,392565;234,395051;65,418986;82,066892;66,407585;122,437185;117,847724;35,284809;47,969487;81,970904;109,093313;37,237691;214,077133;56,761524;34,309479;203,058004;104,528434;78,956542;66,567547;68,024144;66,176733;76,501248;88,254145;130,169768;46,088105;182,544456;177,047464;514,8647;119,046372;326,763105;450,450669;172,979934;179,464828;73,474544;105,048259;151,764397;202,041724;116,746994;267,23341;195,280156;408,732147;231,60021;106,682905;95,651462;197,425884;417,134379;89,56163;147,67801;225,916688;115,500996;178,661479;170,278488;229,384839;131,71438;107,859375;83,586189;170,472897;107,208658;83,436148;93,618677;161,073863;290,148737;188,138343;143,983481;71,253506;208,532779;74,600358;111,983074;37,507257;21,462648;73,96313;225,781382;59,24818;80,987845;3575,994274;24,001605;28,595437;101,346165;135,377029;102,562855;17,367179;59,991906;131,462147;103,71557;120,21932;161,477766;72,559594;99,205254;88,559516;110,434582;101,281401;123,183874;143,745283;96,537544;66,519297;79,897233;58,094864;158,729767;128,742817;202,063979;441,600452;102,890447;88,914714;152,551778;60,311366;154,482602;121,403508;93,058487;30,226334;71,42666;67,639836;23,118927;29,043531;54,762608;419,199929;573,484517;222,684129;173,083615;143,604184;267,7056;52,730631;103,279906;56,830956;88,449745;43,334689;54,71643;182,82374;71,517817;63,692035;74,95493;112,497015;64,95147;64,95147;79,008662;79,00866;76,653511;111,813693;148,487914
1990-05-31;369,201396;2970,165061;220,624298;120,240059;70,698257;117,293883;110,349641;85,892194;95,190774;80,186719;100,054326;51,197157;42,558801;33,659902;341,645487;93,122387;134,542699;81,740423;37,743274;;114,48237;90,458698;242,164201;83,183866;113,496993;84,509498;58,657012;95,677736;93,240966;104,881815;88,274539;75,858515;143,40072;91,807221;107,637239;704,949064;1248,815235;260,832496;628,273466;686,850862;214,337452;404,208519;112,591993;169,980537;292,546905;1801,812224;2790,598022;2378,137397;6646,617651;419,682677;1132,090389;487,841354;227,484228;1133,605905;92,875483;232,824291;91,809;109,490463;120,920022;118,073768;95,98582;418,578132;265,41863;125,549306;143,632395;92,005374;138,778197;69,875169;323,810148;139,379373;76,152168;197,15225;65,763052;74,44554;60,217102;130,490335;117,854765;36,257815;56,045192;80,299562;111,436351;42,622273;225,678784;46,566675;32,899305;205,617612;102,892456;81,942014;65,002065;63,514974;67,584918;83,073659;86,163979;134,766229;61,264623;185,261994;176,258328;501,172898;118,916042;345,714949;447,869434;168,321833;176,870755;68,432631;111,02793;142,582662;229,666714;118,601869;279,219238;195,018972;405,457583;250,849445;108,608833;93,594872;207,080763;442,875292;83,630428;144,834204;217,616125;115,666295;188,262008;163,087433;248,141075;120,150936;123,804798;83,50097;143,363933;97,227027;89,299091;92,20487;170,690846;284,773865;186,690758;168,033202;83,124708;186,897539;75,845618;108,007076;40,627228;24,85364;119,409331;243,674223;63,48459;83,548733;3623,15128;29,613696;31,964863;109,521381;131,46918;105,955215;27,055011;86,22361;140,386475;116,855171;97,672753;164,735588;73,42426;92,347962;83,96939;98,098883;104,935375;122,979;139,918712;93,23262;88,470293;73,996831;56,213873;120,503892;131,465195;293,139306;437,986943;111,608479;91,175378;145,718627;73,336573;157,73076;124,115073;77,955456;32,306257;65,165629;79,022097;18,262565;55,010208;50,014052;366,055274;514,689963;220,051997;171,878897;140,955065;255,004484;53,646811;103,973866;55,059422;89,700966;42,735681;76,486197;111,185328;51,457563;67,45898;65,446273;115,252407;51,220612;51,220613;42,801918;42,80192;80,464104;104,435942;152,013693
1990-06-30;350,270643;1862,89823;245,684475;125,505601;85,368217;119,256791;105,19145;81,930034;82,14646;94,82529;101,908141;42,881372;119,714635;23,10233;410,277306;85,613031;142,719876;85,726275;37,575001;;117,612885;103,468229;258,326765;86,914528;84,635378;92,103431;58,590912;93,917918;85,312101;103,73968;87,851204;70,913387;177,614166;97,102216;90,389114;731,417081;1159,022207;274,733975;596,694919;601,872614;182,764884;429,509073;145,350545;197,450451;285,050556;3053,213972;3459,717936;3523,418694;6774,561945;555,852567;888,557868;573,039002;243,864722;1284,07525;94,138216;272,943666;99,415185;112,681125;120,106398;126,104515;93,879148;432,789629;259,653067;125,549306;141,284792;92,005374;136,512007;66,351112;341,719095;137,614206;79,542457;260,876634;64,096256;69,219571;59,765124;129,441468;150,369322;37,788351;75,061143;87,705723;122,670449;52,45374;217,334317;50,308226;34,425887;212,76252;109,367106;81,08471;68,695135;65,307653;70,165054;77,45809;80,151888;126,601924;55,877129;228,840569;175,733766;499,430194;115,818468;355,894336;449,843473;181,489534;185,06778;72,868113;117,477946;171,843222;221,276134;122,186036;304,581602;207,296343;440,574033;268,134911;112,381591;98,806021;211,846147;459,172422;93,907937;156,610998;222,205226;121,353486;189,295286;181,01163;259,107642;146,26324;149,622294;87,598276;179,340451;107,002427;156,730111;103,569147;162,154449;305,158709;206,608108;199,043777;99,0697;213,914567;80,367361;115,004884;37,977043;27,485683;189,571932;244,614954;26,454204;92,940896;2952,277712;82,536557;29,074348;154,66167;138,200054;125,952389;48,535603;71,422738;150,825217;147,625112;103,947344;170,27972;77,580837;107,773757;86,690092;127,847573;117,595242;128,248369;229,524799;110,255192;106,517711;91,250935;65,626656;126,581425;185,287883;471,981207;459,345186;132,879926;111,927684;164,843433;54,141886;176,277608;129,503699;88,05041;33,378032;72,668901;84,190703;20,258425;25,323012;56,437715;408,194677;434,482376;230,926978;188,705137;144,894732;273,364486;59,069394;107,593032;56,10745;104,971595;44,907836;124,809006;125,041469;66,656616;92,87589;65,026445;116,600475;51,535164;51,535164;39,117163;39,117163;84,58597;110,579436;153,38209
1990-07-31;307,255605;333,40216;247,357743;126,499641;86,126927;144,962502;110,516772;76,461108;85,076969;85,641098;57,56919;42,309742;162,991472;17,366486;415,34174;82,993287;120,019292;80,536833;41,399731;;100,243306;65,74928;191,01281;77,125791;91,347869;73,179343;51,435428;92,035585;78,179073;78,078926;73,320174;56,204212;133,787957;97,814237;87,439475;665,09269;1032,197394;208,368663;432,295819;448,162101;179,152674;521,719624;106,392898;173,186382;275,693451;3041,482963;4139,702546;4933,406846;9076,542002;468,575571;1120,361788;426,255971;230,966566;1058,113721;102,844168;300,78922;99,353997;107,13554;134,098238;122,70549;108,805829;478,979165;288,458325;125,549306;125,346302;92,005374;143,102672;67,468086;322,422538;145,804883;80,798622;217,277392;70,222481;52,46466;65,57999;122,646361;113,481159;41,344075;44,146506;91,747471;111,330373;39,674105;181,29063;49,541002;32,573537;184,490685;112,61783;79,588819;68,746819;70,564825;71,297889;81,502265;70,339901;111,529003;57,393712;206,261155;192,674653;566,389;111,301125;415,268405;332,64168;183,944892;185,49479;69,142235;119,128861;164,128107;263,181816;117,139727;33,10106;226,317967;505,544543;284,127002;115,308767;90,795901;216,183258;438,861912;64,424874;129,224869;189,168963;127,051647;198,714702;159,742257;292,745129;159,393818;117,016869;96,74107;134,075743;99,225993;65,579664;93,96585;156,725284;281,605843;178,263733;151,585667;102,306073;192,435842;93,616222;127,210122;36,527327;22,60881;71,045741;208,532393;64,718947;68,854325;1413,526149;21,983348;20,640426;117,985012;138,307443;125,921634;63,157459;116,487298;132,900447;141,375718;90,940874;117,013178;108,965309;33,051667;90,897308;83,928802;107,266676;115,867469;159,851741;96,793505;89,27357;71,949728;63,203223;106,362845;160,434158;52,872986;427,55497;120,463858;121,182519;150,353142;68,071695;190,024047;125,6936;76,207746;25,401355;59,260204;58,435686;11,797762;16,155647;58,72519;493,598721;364,373568;222,466085;198,533101;145,535455;263,202086;49,48576;106,82005;50,908185;88,449284;45,84594;67,905898;130,654553;61,816107;75,121633;66,270297;118,274449;52,427533;52,427533;35,325603;35,325602;90,882256;109,260935;151,914191
1990-08-31;361,567333;1982,850133;221,50113;92,823582;50,905539;55,336406;114,674447;78,952751;88,355519;70,401434;92,794663;44,010308;214,966399;33,480712;357,741075;74,706341;67,931052;82,301626;39,697928;;90,089073;74,970714;72,215421;87,579099;88,481497;62,723052;39,280843;54,647696;90,798166;95,907074;98,583988;51,947641;118,554334;97,35986;93,676815;295,306027;552,776523;133,969144;180,673032;128,843517;112,629889;68,081835;74,773013;74,029023;95,768158;1431,354498;2247,977597;2623,795648;3138,686712;234,303355;560,123928;214,381585;154,041913;705,439946;43,554786;77,851582;69,934753;101,167541;74,501406;71,792196;59,699379;299,390121;155,658954;125,549306;128,780483;92,005374;139,96327;62,230067;209,789826;121,872077;78,531862;239,237106;53,042102;65,425701;30,18285;74,340356;98,344478;30,776917;116,591973;50,29066;88,715375;34,438241;129,978659;32,006362;28,926297;143,352528;31,940779;58,881832;44,324971;34,946612;33,021306;70,965086;66,503302;99,203861;39,372886;113,710538;93,125375;131,589028;48,794765;113,007604;417,839177;130,268334;106,051397;33,037523;86,13677;46,370186;85,307905;72,378362;253,311673;19,130336;15,895429;163,154018;36,782626;49,690619;130,21114;225,48914;20,052547;49,825414;81,071338;19,488812;30,48155;146,662706;150,927142;77,028596;57,525507;70,313259;133,329367;42,911418;94,811758;54,18435;84,910732;163,497504;116,568389;138,540867;93,234424;131,751467;15,141172;59,913254;29,940042;17,1872;62,357105;218,821176;33,384075;57,770525;2019,384029;26,3194;12,029001;60,418214;107,49747;117,291778;36,533862;89,337981;99,57052;125,060764;75,209853;66,605743;91,795496;84,332467;48,680737;73,403225;85,922286;83,206826;201,604126;68,051706;19,744956;52,952556;39,545027;70,465295;102,373594;25,593253;265,474712;101,804486;56,96134;146,274165;41,487742;184,261588;29,660323;20,227833;21,058746;33,60523;43,737638;2,818449;24,461849;60,090092;178,934855;244,315929;162,243339;61,003289;148,803794;152,047608;36,241355;51,544864;43,982204;64,932688;31,634738;88,311421;111,057813;50,414363;61,86092;62,277465;107,593603;48,194763;48,194763;28,516812;28,516813;86,34957;61,819837;116,123314
1990-09-30;358,171862;3132,384342;255,307272;115,081034;100,209678;86,20283;105,089345;77,677806;54,790362;89,078786;96,355107;29,130699;231,946546;37,658155;380,53103;69,690714;59,981299;81,492732;44,839964;;131,067685;109,995478;219,223314;116,764271;97,187128;76,369799;51,804569;91,393395;87,088301;108,249074;93,989175;73,291568;94,190431;94,732316;53,805242;763,117517;1189,042611;233,225861;566,999784;713,400837;222,177458;310,771037;131,39779;170,497519;296,696738;1809,714757;4426,836905;4315,615789;4133,355277;571,294963;874,463507;502,934346;302,126189;1192,661463;97,871279;220,844537;97,841996;99,816119;115,528556;123,464376;85,484631;419,445838;236,375026;125,549306;152,459882;92,005374;126,033473;75,821287;306,032928;139,275672;76,161856;272,2142;69,10032;77,627953;55,789995;109,687465;132,442422;36,022377;64,022745;81,5108;103,69137;38,897402;215,796462;40,278049;34,07472;212,562124;100,945285;84,059983;66,259991;69,095569;69,82785;78,745414;68,708394;121,416009;56,446054;185,02093;154,198289;508,826221;113,661901;426,360155;455,75042;164,389999;168,193144;66,570415;105,876971;132,583752;243,397194;117,946582;278,402076;193,237668;377,832149;229,997838;110,078203;89,221595;200,234388;457,087383;86,985475;150,402024;229,722891;115,371523;182,981958;169,913571;229,062213;161,504904;96,014039;86,78985;163,755127;102,107733;84,517379;96,855564;168,567153;285,336358;184,711759;157,981501;106,292565;153,617463;68,118664;123,269017;42,573428;30,340534;139,572268;217,794569;65,431662;118,562308;1884,376048;75,211187;11,349234;145,807166;140,811711;164,443389;29,515165;80,342983;110,60407;119,446507;124,130852;166,193652;121,445819;113,179194;75,407841;97,175323;111,258316;111,675715;253,89154;110,806986;92,288626;77,075614;64,785602;124,139546;155,817018;46,355896;361,125641;99,679102;118,444066;137,740972;33,281382;183,22222;112,431481;81,84379;30,235461;65,342377;92,154184;14,277108;39,492177;56,82433;332,889716;339,714319;234,005193;171,031847;181,760447;298,10395;51,953805;105,252347;47,662064;95,435009;45,14348;116,941499;110,33363;60,435457;69,964505;67,65037;114,037664;51,302669;51,302669;45,018114;45,018114;82,75694;105,168644;154,141368
1990-10-31;375,762525;3118,683881;282,751701;131,643412;99,192755;134,347203;121,784953;86,093991;62,501538;83,891323;92,362221;37,598939;134,856508;41,64594;481,936119;82,667127;50,31945;93,892308;50,007842;;121,647079;120,625284;300,779679;121,77378;112,797855;97,536456;50,315288;89,221426;99,827282;116,916931;104,758794;97,748746;97,135444;97,18133;53,859104;880,070428;1376,356376;287,12755;698,046303;731,489531;309,590609;395,391713;137,172577;205,016085;423,315813;2371,31212;3460,665924;5611,756011;4575,723099;577,746884;1353,447891;537,318894;351,696342;1233,827761;102,439152;293,634488;107,98868;109,677757;125,220434;133,985728;102,409109;468,511846;227,516133;125,549306;168,858932;92,005374;130,253994;78,491514;322,688636;142,75843;93,883631;276,238547;71,130862;68,674608;83,790558;116,567164;135,68565;43,141703;89,346189;79,889845;107,486379;45,308967;229,251575;65,495309;39,685695;227,232859;111,02346;93,73212;70,190715;78,08359;73,622667;81,964921;77,021227;129,811358;57,251556;209,91553;182,09768;566,887236;133,167531;358,260566;531,776637;177,617138;190,638725;77,789889;122,961257;148,498744;168,106328;118,776167;277,765613;203,464131;455,225671;223,08285;122,097924;99,906931;202,555521;502,32922;112,836863;170,986951;248,867886;125,010723;197,073809;185,203044;284,604927;212,711234;89,654812;138,115971;209,420551;106,395612;97,819434;105,658364;180,397897;323,458572;211,434817;171,547819;97,840304;183,692228;90,096238;137,182115;38,02849;24,001864;79,344569;303,639037;98,226637;130,192298;2861,868217;25,287277;23,84463;145,684739;113,241086;215,969852;33,859057;100,945443;132,207355;133,098363;184,691638;194,44844;99,837063;61,167897;88,622632;118,907977;115,317508;121,388503;429,383177;105,759191;100,446749;72,093401;66,89525;146,949572;164,746349;257,970956;501,523034;113,719309;113,033761;149,930468;40,31025;189,103497;124,686866;95,547275;30,582965;70,811372;115,75779;20,429876;36,2069;57,861029;330,34688;425,603969;259,877692;199,927992;171,548422;323,286792;57,342915;136,383707;70,808204;96,376846;45,101861;66,471701;118,495616;82,037663;71,716715;74,588697;117,681892;61,303356;61,303356;65,444484;65,444483;81,799615;122,028875;168,970334
