;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020
1990-01-31;394,66251;3017,533674;241,051175;90,645927;108,635471;115,412459;105,503104;79,150392;67,006362;69,102992;85,030115;34,366832;47,733675;37,724607;470,83573;82,637082;58,743442;82,817991;36,442744;;87,798565;104,067622;179,976965;81,73561;92,093123;80,346377;44,352485;71,368679;97,536711;128,889849;125,95388;50,001805;82,945325;90,831956;72,206069;822,533063;1223,429939;286,422909;585,800818;830,193066;219,761489;342,636534;104,553786;165,892695;315,897154;2358,546343;3822,822859;4422,811066;6463,107244;593,178717;1217,601576;497,638633;248,775888;1292,539902;99,608209;229,22482;96,941574;114,325794;120,280405;116,246181;100,545946;477,481591;296,98412;125,549306;135,228111;92,005374;148,196403;69,133305;338,743397;111,156341;90,512716;266,655514;67,203824;86,250247;132,520425;99,679527;104,753497;37,399208;43,514626;72,0435;120,02618;36,971037;204,513126;55,853784;32,80763;218,51098;99,980487;76,67711;63,246801;64,06923;64,800289;78,498015;81,320299;122,199692;56,759987;186,128451;181,490524;519,968981;113,031571;343,42225;498,468405;132,226376;150,898265;69,282545;92,02695;136,573331;44,685653;110,910776;303,862785;235,386693;454,826413;222,57069;107,076482;96,021104;197,402693;454,057648;77,319069;161,140181;238,373621;115,4236;191,298955;144,949137;216,022921;122,511425;86,003117;106,771991;167,619003;108,085159;81,20769;89,968471;138,596681;274,032526;200,294316;148,057052;68,650575;174,296886;79,600768;113,278955;38,242659;25,719833;98,6634;133,071757;50,266606;48,11213;3234,796602;12,044865;18,359211;97,573465;170,214199;172,419179;14,75099;65,728269;126,817552;97,069286;101,06185;144,611399;80,300654;58,804474;83,000311;108,287406;72,389185;117,017282;156,207761;91,013852;48,251754;54,366845;51,818543;148,797957;116,984963;110,885063;471,550617;78,718246;123,583522;110,232833;61,507353;171,380677;125,967526;86,843058;26,013535;66,921555;104,406239;18,772738;58,584669;72,32551;237,146066;225,525794;223,52888;145,288562;135,522358;239,940463;58,23267;98,937241;54,010368;76,547052;28,959314;50,89392;94,703441;44,720403;62,624312;84,722631;97,916148;86,081126;86,081126;116,683961;116,683962;76,499294;102,60947;133,016284
1990-02-28;346,862399;2828,569346;234,693688;97,814123;82,816204;111,886698;95,432213;73,106388;74,459388;74,061753;92,478164;37,679567;41,82609;37,590674;374,237908;78,342808;65,972111;79,438164;32,884195;;117,40392;105,967756;277,324685;107,483134;87,091102;79,644651;43,596849;75,569925;90,788065;112,129298;100,630788;46,478779;84,023543;81,516882;65,211185;787,828232;1176,013065;278,846789;569,121262;436,355558;299,841762;362,145312;104,633729;167,595766;278,447473;2275,464406;3789,2499;7714,441453;7998,257206;524,044655;1057,63597;479,069763;265,963414;1320,005875;94,480417;216,562063;106,291345;107,358766;113,492276;114,599035;93,688521;461,140856;305,793634;125,549306;129,256087;92,005374;115,243078;64,394985;327,589947;101,537126;82,479432;265,3141;64,450213;83,595387;120,17908;121,004308;110,59024;35,79243;43,663717;75,341135;111,5989;35,54628;213,434668;44,415122;29,100901;218,051598;106,001599;73,642776;65,822075;60,804149;67,360377;70,795094;86,458792;119,940135;53,04174;194,224273;178,503695;471,505796;112,208872;313,440855;486,09624;139,081509;156,177751;68,00754;95,718633;155,35789;87,17899;108,821164;276,991921;207,884554;435,563912;218,859042;108,619578;92,374693;194,615588;461,366917;105,633886;151,713506;227,256136;117,359203;184,200614;180,566368;217,846532;116,152162;105,982931;89,322397;175,297895;103,514081;76,67317;88,477259;151,592182;275,117929;201,134212;149,660115;71,133512;195,953159;76,575186;107,854887;40,031266;23,513088;79,391488;246,064454;51,666975;76,182169;3433,55464;21,047943;16,721172;81,184566;170,846396;111,315462;29,016539;91,839122;121,880553;96,060795;98,205484;166,391468;96,819053;90,972236;81,532172;101,607872;103,021431;119,6831;203,630464;78,934016;35,58625;63,771682;59,607035;166,436671;138,586477;77,176883;496,187582;103,893006;125,238617;130,125189;68,681872;181,380937;119,845746;93,997811;25,925376;70,279437;100,347559;12,345502;36,044266;67,874246;495,440976;366,576233;236,134194;153,842087;138,038362;270,014663;52,2734;113,207933;48,491155;81,495587;34,867306;61,212602;94,226853;110,813111;68,099639;70,484209;90,917742;67,334539;67,33454;85,363529;85,36353;69,952537;110,02792;138,618948
1990-03-31;394,480744;3130,635347;266,036513;119,401764;92,174856;124,176992;111,76205;84,873533;78,427767;91,507907;103,582373;46,272477;40,802738;40,91221;411,626817;89,724932;99,531471;89,386645;39,136265;;118,902241;108,014659;289,201189;104,693596;90,872982;88,979545;51,53104;93,836896;97,581727;122,034268;81,056783;59,839078;106,646688;91,349344;78,608277;881,198158;1323,477714;307,110171;657,100499;566,882459;181,539781;311,623902;124,509448;185,47011;287,675252;2229,808152;3598,925958;6761,910116;6690,954389;592,613505;864,360224;596,011134;269,343734;1456,769071;98,112503;252,519835;107,511511;109,665078;127,52436;125,97924;100,107709;465,732698;334,621476;125,549306;148,341825;92,005374;119,089366;66,936341;359,982278;119,170713;82,578981;307,532768;68,41729;88,064555;122,907776;130,386005;129,843577;42,074773;69,260073;85,736108;127,933551;41,906955;214,207093;63,056051;36,30088;235,248499;115,552527;88,237837;73,293399;68,922989;70,975768;80,554183;85,930434;132,751167;61,184814;206,908057;190,458688;524,443818;126,745995;354,888864;513,295723;179,558681;185,891826;85,233285;122,507103;156,614941;194,703418;121,985546;307,777363;225,202993;444,802793;243,256573;118,307508;101,188459;211,871265;489,607676;97,352866;163,537757;250,524536;123,667782;198,688091;175,783392;231,226798;127,977663;102,260376;87,983814;202,790638;108,692241;102,556142;107,828954;175,572977;306,212538;206,298263;176,448449;81,928957;212,861297;77,679285;126,129577;39,799287;26,145663;146,258249;258,559002;60,304238;81,42773;4177,053516;47,41689;22,717005;104,459873;186,21093;194,555885;25,084015;80,702977;130,80808;122,061788;94,739694;167,376151;100,919001;139,5304;98,090095;115,427449;111,686629;135,634022;161,53087;101,558066;86,448861;77,222198;66,471609;180,069704;146,190923;140,090994;490,612516;119,593069;144,886507;137,635805;70,773617;262,339664;135,921739;98,868766;29,226892;74,318366;108,494416;17,817467;41,089059;70,761643;297,335934;497,136325;253,281;183,820043;153,135558;295,790894;58,044836;103,368088;54,063072;95,723938;38,674875;81,195712;104,964909;89,111155;70,653871;74,151004;101,27284;68,592745;68,592746;85,523737;85,523737;76,647892;102,140401;161,527003
1990-04-30;366,561586;3012,432439;228,967278;115,519083;85,508301;113,424434;108,77766;80,149265;84,521322;81,443317;102,854692;41,806404;34,003463;33,664231;351,157195;90,645071;128,555317;81,537816;37,03115;;115,610024;97,365103;254,485991;93,252232;104,54497;99,558914;58,946078;93,966949;93,545044;109,190897;93,480113;60,424155;129,081544;90,433589;84,997388;772,59603;1169,306707;289,701645;634,135044;688,243995;192,937071;418,548012;133,724312;172,858637;300,784897;2144,505996;2892,548789;4195,403368;5479,94232;458,273426;1327,361076;519,802543;276,751556;1219,748064;94,071956;241,434109;89,212644;108,201301;117,066214;115,113155;98,579178;444,999936;319,414032;125,549306;134,558009;92,005374;100,41928;69,706202;338,870024;137,828305;81,392565;236,692579;65,761425;82,066892;68,56748;126,206103;121,403363;35,79063;47,969487;83,548785;109,748683;37,864672;214,077133;58,033186;34,834306;208,627151;107,601889;80,665716;68,088676;70,532771;68,658089;76,501248;91,275304;130,901504;46,088105;182,544456;180,213689;519,816129;120,721258;331,789124;460,620126;174,556533;184,937034;73,474544;108,139641;155,890387;211,469304;117,456883;270,440231;200,696665;416,825947;243,113316;108,299116;96,540642;199,34912;428,551026;91,615457;150,680393;229,142006;118,565503;181,512321;171,92862;232,055192;135,874842;112,250212;83,586189;173,174094;110,076001;85,088232;94,873089;161,856373;293,379831;193,912056;146,709743;73,820498;212,675602;75,267553;112,856948;37,68939;21,548455;75,243496;224,187617;59,699563;81,24576;3575,994274;24,001605;28,595437;103,273453;136,999986;102,662248;18,149244;63,005786;134,642179;105,853895;120,750924;159,83859;72,873291;99,205254;89,627725;110,434582;100,367322;124,225342;157,7848;96,568674;64,961259;81,540288;59,821337;162,135125;128,742817;202,063979;448,983693;104,40903;91,634381;152,551778;60,311366;154,482602;126,757343;93,828854;31,547411;72,89526;68,951323;23,679334;30,83578;56,589247;431,069443;573,484517;225,72416;175,216301;145,527772;273,853297;53,396537;104,900728;56,830956;88,641326;43,456989;54,71643;182,630213;71,517817;64,707047;74,95493;113,256042;64,95147;64,95147;79,008662;79,00866;76,653511;111,97749;150,735317
1990-05-31;369,337143;2970,165061;211,980384;116,100844;70,698257;114,12602;106,103939;82,568759;92,379979;78,204729;97,537847;48,174408;42,240163;33,659902;332,050951;91,058231;132,000624;79,249181;37,743274;;112,348672;85,317786;238,953143;83,183866;112,503409;82,249328;55,439777;92,482641;89,852228;101,103469;84,037486;72,72561;140,948229;91,807221;103,993034;685,65035;1210,979335;254,52806;608,943995;661,72336;211,638447;395,751039;111,889023;165,823711;287,83368;1801,812224;2781,833898;2378,137397;6606,85654;419,682677;1132,090389;477,100491;227,484228;1092,956946;89,445676;225,463959;88,421087;109,490463;121,312717;114,117053;92,973027;409,159663;262,000875;125,549306;140,481696;92,005374;138,778197;69,875169;319,437956;139,379373;76,152168;193,658317;64,684911;74,44554;58,42919;125,835446;114,727611;35,217227;56,045192;77,897734;109,511939;41,395482;225,678784;45,079212;32,114905;202,507578;100,297926;79,715858;62,606341;60,499934;64,858654;83,073659;83,152234;134,766229;61,264623;185,261994;176,258328;501,172898;116,986085;330,776162;434,924794;168,321833;170,797613;68,432631;106,559327;140,237219;219,461493;117,790809;272,676579;189,931214;401,280379;242,803186;106,727437;92,269422;200,565361;436,581458;83,630428;141,937954;210,838477;111,042879;183,086367;159,984397;244,215334;117,557338;120,340553;83,50097;142,860086;94,188837;87,182409;89,912027;167,358141;280,10993;181,674013;161,209155;80,542863;181,649698;73,961337;106,031975;40,081417;24,718629;114,50129;239,325151;62,609156;82,493759;3623,15128;29,613696;31,964863;107,098982;128,541692;106,141505;26,214165;84,92762;136,309515;114,674099;95,751468;164,201495;73,001866;92,347962;81,942286;98,098883;104,273719;120,725638;129,599632;93,053377;87,662249;73,996831;54,901012;117,091259;131,465195;293,139306;429,41364;110,126065;89,794194;145,718627;73,336573;157,73076;120,624767;76,71005;31,81355;64,394277;79,022097;17,79261;53,884234;49,13822;366,055274;514,689963;216,75191;165,494622;136,856436;247,620356;52,863661;102,018465;55,059422;88,964968;42,22854;76,486197;109,341403;51,457563;66,154881;65,446273;114,61649;51,220612;51,220613;42,801918;42,80192;80,464104;102,464337;148,435832
1990-06-30;349,731533;1862,89823;255,502345;127,721544;85,368217;119,840038;107,835737;83,526807;83,508543;96,174861;103,012763;44,188316;120,212555;23,10233;413,427109;86,095892;143,379347;86,478376;37,575001;;118,337549;104,627409;260,318321;86,914528;84,861897;93,511347;60,1962;95,040435;86,699643;105,262608;91,157194;72,451049;176,404007;97,102216;90,423507;741,852825;1168,319573;279,002267;606,675984;615,359155;181,44446;438,185525;146,066908;197,684352;286,257757;3053,213972;3476,080178;3523,418694;6771,18173;555,852567;888,557868;577,581707;243,864722;1315,281325;96,591232;277,133112;101,664323;112,681125;119,486739;128,451777;95,837947;437,741671;261,067836;125,549306;143,069467;92,005374;136,512007;66,351112;344,570924;137,614206;79,542457;262,07304;64,831959;69,219571;59,653689;131,337552;152,12785;38,721123;75,061143;89,914113;124,080684;53,053549;217,334317;50,829467;34,735391;212,893991;110,37421;82,241073;69,569729;66,727719;71,127455;77,45809;81,078634;126,601924;55,877129;228,840569;175,733766;499,430194;116,073538;366,332879;457,374748;181,489534;188,29664;72,868113;120,349891;170,092985;226,914731;122,287206;307,91744;209,439159;443,66228;269,410181;114,617381;99,743226;216,617813;453,383182;93,907937;157,98948;226,120051;123,795408;192,658657;184,035021;261,832758;147,889228;150,325084;87,598276;179,149332;108,465876;158,908737;105,235348;164,583968;306,591549;209,173153;205,253722;100,095264;218,004812;81,584447;116,240033;38,308176;27,705779;194,333753;250,830739;26,621286;93,830659;2952,277712;82,536557;29,074348;155,208279;139,673048;125,609602;47,933908;70,561164;151,667542;147,394049;105,566273;172,585515;77,693831;107,773757;87,775893;127,847573;119,419203;129,546879;225,751209;110,43196;106,201267;91,250935;66,195111;128,906307;185,287883;471,981207;460,811638;132,709935;110,276257;164,843433;54,141886;176,277608;129,723185;88,745268;33,332331;72,768906;84,190703;20,3014;26,081869;56,534646;408,194677;434,482376;232,745198;194,149398;147,069772;277,345805;59,196914;108,646443;56,10745;105,611262;45,319252;124,809006;127,284896;66,656616;93,957587;65,026445;116,795829;51,535164;51,535164;39,117163;39,117163;84,58597;113,064116;156,054866
1990-07-31;307,570761;333,40216;247,087395;125,847884;86,126927;145,330888;110,135032;76,48738;85,404174;86,121189;58,102241;42,069745;163,600908;17,366486;413,55326;83,52157;119,832906;81,233029;41,399731;;100,59358;66,894117;189,605803;77,125791;91,750312;73,303398;50,87175;92,750333;79,009475;78,042708;72,862373;56,634259;133,981347;97,814237;88,067362;662,505363;1029,083356;206,620073;431,575167;447,667687;179,451635;525,287997;107,204216;174,041052;275,320455;3041,482963;4170,127512;4933,406846;9282,525609;468,575571;1120,361788;425,973163;230,966566;1058,352305;101,819994;300,134162;98,561922;107,13554;134,790045;122,664624;108,419315;478,264264;289,985161;125,549306;125,834272;92,005374;143,102672;67,468086;322,59911;145,804883;80,798622;216,580346;69,723499;52,46466;66,032881;122,913688;113,083839;41,054463;44,146506;91,421851;110,54342;39,053615;181,29063;49,332573;32,71099;185,530355;113,843123;79,801915;68,920084;70,31424;71,813033;81,502265;71,750439;111,529003;57,393712;206,261155;192,674653;566,389;111,941858;409,68494;334,890286;183,944892;185,120732;69,142235;118,537931;162,537521;258,216044;116,799468;34,909155;225,049542;505,066884;289,060486;115,140236;91,088601;215,664094;439,635769;64,424874;129,989133;189,002177;127,311008;197,750118;159,303199;291,642896;157,528407;117,2929;96,74107;134,82157;99,189666;65,763493;93,732879;156,562816;284,777127;177,716494;149,731158;102,338185;191,087101;93,288012;126,900912;36,385823;22,5344;68,939635;210,006244;63,124245;68,572412;1413,526149;21,983348;20,640426;118,336394;139,358023;125,844058;63,53289;116,682217;134,395235;141,630031;90,631043;115,008982;109,878756;33,051667;90,646641;83,928802;106,362194;115,388917;172,951899;97,144517;91,761232;71,949728;63,843433;105,906934;160,434158;52,872986;418,721409;121,025037;122,81483;150,353142;68,071695;190,024047;127,517957;77,050324;25,54742;59,543353;58,435686;11,66468;15,820343;58,944989;493,598721;364,373568;222,684453;198,329796;145,33509;264,382946;49,902106;106,949073;50,908185;88,535394;45,909245;67,905898;129,492633;61,816107;75,113385;66,270297;118,505463;52,427533;52,427533;35,325603;35,325602;90,882256;108,151778;151,370394
1990-08-31;361,110199;1982,850133;214,307641;90,718886;50,905539;51,173188;111,241173;76,706155;86,072518;68,883791;91,243313;41,656939;213,125984;33,480712;352,85195;73,130324;66,965086;80,270761;39,697928;;88,581988;73,58205;69,578204;87,579099;87,413417;61,540799;38,108759;51,555067;87,181915;94,365723;98,117099;50,300157;116,042859;97,35986;91,626678;288,364235;549,069493;132,17432;176,072469;124,461283;112,383631;65,328411;73,176816;72,845768;93,842771;1431,354498;2187,693605;2623,795648;3058,347093;234,303355;560,123928;210,327347;154,041913;690,336797;41,137006;75,05473;68,739419;101,167541;73,834238;69,648427;56,768826;294,398568;153,411549;125,549306;126,110642;92,005374;139,96327;62,230067;208,056049;121,872077;78,531862;240,180354;52,53161;65,425701;29,615159;72,363389;96,655905;29,970954;116,591973;49,02776;87,478674;34,027495;129,978659;31,701705;28,132143;141,698431;28,464236;57,498054;42,65418;33,490226;30,802649;70,965086;64,463315;99,203861;39,372886;113,710538;93,125375;131,589028;47,882925;113,267234;408,693381;130,268334;102,830497;33,037523;83,559481;45,800888;83,626457;72,430336;249,532255;17,438776;11,818652;157,915303;33,621377;47,511928;128,159305;216,756901;20,052547;46,132618;78,716438;16,403299;28,70375;143,918633;148,359983;76,682818;56,14749;70,313259;129,672313;40,393204;92,619669;52,34355;84,396631;156,763479;114,749396;134,491801;90,49909;128,7717;12,300347;58,723275;29,480891;16,818314;63,257345;207,9883;33,503306;56,203705;2019,384029;26,3194;12,029001;59,524082;104,997284;114,050259;35,084268;86,161228;97,279355;123,320571;73,735559;64,880589;89,367576;84,332467;47,34466;73,403225;85,018027;81,698987;212,698184;66,327122;18,516785;52,952556;39,019333;67,829277;102,373594;25,593253;264,139414;100,938681;56,319525;146,274165;41,487742;184,261588;27,093398;19,728719;20,693306;33,120246;43,737638;2,795865;21,078358;58,671929;178,934855;244,315929;159,330307;57,554803;145,856271;147,481433;35,539625;49,670565;43,982204;63,922143;30,926337;88,311421;109,605824;50,414363;61,207022;62,277465;106,729173;48,194763;48,194763;28,516812;28,516813;86,34957;60,745738;114,290994
1990-09-30;360,269415;3132,384342;266,336118;120,840291;100,209678;92,648771;111,986176;82,361162;58,575038;92,227532;99,336579;33,825414;234,818469;37,658155;395,845198;72,527569;62,323756;84,809944;44,839964;;135,029283;113,242527;223,944386;116,764271;99,172132;79,058311;55,34742;95,794656;92,391403;111,846622;98,228599;77,277416;99,384637;94,732316;56,490841;778,274021;1216,351577;240,242767;594,509789;747,695695;222,244911;326,367118;134,573256;176,445834;307,699384;1809,714757;4569,54597;4315,615789;4237,695427;571,294963;874,463507;523,495743;302,126189;1239,548732;102,90232;228,172849;103,597373;99,816119;116,024475;130,803334;90,741256;432,874744;246,419428;125,549306;158,494861;92,005374;126,033473;75,821287;318,620475;139,275672;76,161856;274,076634;70,710254;77,627953;57,237833;115,483411;137,922456;37,870866;64,022745;85,849915;106,778414;41,100246;215,796462;41,865132;35,548706;216,52855;105,845885;87,782553;69,387971;73,727184;73,746308;78,745414;72,339436;121,416009;56,446054;185,02093;154,198289;508,826221;115,492085;434,521097;475,366901;164,389999;175,91938;66,570415;112,197764;138,695102;255,820433;118,861887;288,108095;200,297477;390,288833;240,471562;115,587614;92,57904;206,582977;480,397882;86,985475;153,638668;238,391956;119,591708;187,275561;175,643801;235,449094;167,116503;99,041221;86,78985;167,349443;107,849149;87,92845;100,71725;174,700067;292,608074;191,277558;167,348253;111,870562;162,237313;72,974483;128,305373;43,758581;31,380052;141,26371;223,386265;68,093585;122,215645;1884,376048;75,211187;11,349234;152,095133;145,891519;170,292645;31,013296;84,804732;114,857292;123,481355;129,59369;177,066035;125,462219;113,179194;79,529562;97,175323;115,149415;115,971345;236,579479;115,70384;99,801499;77,075614;66,114735;128,48212;155,817018;46,355896;372,013697;102,880665;122,664003;137,740972;33,281382;183,22222;117,444564;85,156398;31,645432;67,095239;92,154184;14,873251;42,129363;59,766577;332,889716;339,714319;238,262709;177,455376;188,734725;314,069309;53,473975;108,28232;47,662064;97,321886;46,263129;116,941499;113,861443;60,435457;71,198484;67,65037;115,055838;51,302669;51,302669;45,018114;45,018114;82,75694;108,468061;159,287492
1990-10-31;374,594974;3118,683881;274,680931;126,716959;99,192755;131,856631;115,538805;82,361569;59,885443;81,474614;89,767443;34,512713;133,673976;41,64594;459,621387;80,856769;49,096171;91,942648;50,007842;;118,259323;118,440052;296,08903;121,77378;111,066334;94,94184;48,241893;87,347123;97,114922;114,026026;100,073409;93,984099;94,246972;97,18133;51,65801;865,159378;1342,175614;280,049965;678,357496;714,087299;308,068138;387,363253;134,68719;199,967882;418,143339;2371,31212;3376,296646;5611,756011;4480,948545;577,746884;1353,447891;521,684398;351,696342;1200,745854;98,343167;287,059896;103,811146;109,677757;124,497583;128,931371;98,785819;459,010493;218,812272;125,549306;164,024292;92,005374;130,253994;78,491514;309,496238;142,75843;93,883631;273,552246;70,029336;68,674608;80,522268;112,146873;131,874268;41,06033;89,346189;76,608901;104,869485;43,6349;229,251575;63,618455;38,355474;224,277078;107,90679;90,892247;68,222502;74,509479;71,448009;81,964921;73,648376;129,811358;57,251556;209,91553;182,09768;566,887236;131,707032;352,351405;511,569534;177,617138;183,685958;77,789889;117,881336;144,769171;164,371685;117,852364;272,609399;197,173613;445,472904;218,216732;117,253011;97,705697;197,103855;497,38438;112,836863;168,904127;243,171665;121,880763;193,310009;179,579613;280,03985;207,032966;87,738397;138,115971;207,667277;102,23233;95,670304;102,683785;173,139937;317,36082;207,144165;165,24047;93,869452;176,676396;88,161837;133,518819;37,413831;23,556582;79,175272;303,717284;95,789639;127,241562;2861,868217;25,287277;23,84463;140,569706;109,712979;214,168287;33,26556;99,39715;128,623314;129,825133;179,087929;188,767844;97,857135;61,167897;85,671673;118,907977;112,451574;118,492142;417,878119;102,906725;93,062001;72,093401;65,713378;143,21307;164,746349;257,970956;503,714414;109,30665;107,897649;149,930468;40,31025;189,103497;120,717165;92,729153;29,479556;69,827714;115,75779;19,623672;35,31489;55,849211;330,34688;425,603969;257,81852;193,17038;165,710222;311,299801;56,500366;134,148597;70,808204;95,39423;44,315772;66,471701;116,263239;82,037663;70,532405;74,588697;117,339852;61,303356;61,303356;65,444484;65,444483;81,799615;119,53314;164,478231
